At round 0, test loss is: 2.2139, metrics result is [0.1846578], train loss is 2.2148749828338623, c accuracy is 0.52
At round 110, test loss is: 0.2035, metrics result is [0.9424398], train loss is 0.2168576419353485, c accuracy is 0.0
At round 111, test loss is: 0.2031, metrics result is [0.94301724], train loss is 0.2163340449333191, c accuracy is 0.0
At round 112, test loss is: 0.2028, metrics result is [0.9431456], train loss is 0.21584652364253998, c accuracy is 0.0
At round 113, test loss is: 0.2019, metrics result is [0.94293004], train loss is 0.21529188752174377, c accuracy is 0.0
At round 114, test loss is: 0.2015, metrics result is [0.9430411], train loss is 0.2147749662399292, c accuracy is 0.0
At round 115, test loss is: 0.2010, metrics result is [0.9435345], train loss is 0.21416763961315155, c accuracy is 0.0
At round 116, test loss is: 0.2004, metrics result is [0.94332093], train loss is 0.2136460244655609, c accuracy is 0.0
At round 117, test loss is: 0.2001, metrics result is [0.94351816], train loss is 0.21318869292736053, c accuracy is 0.0
At round 118, test loss is: 0.1993, metrics result is [0.9438212], train loss is 0.21253438293933868, c accuracy is 0.0
At round 119, test loss is: 0.1990, metrics result is [0.9445468], train loss is 0.21208690106868744, c accuracy is 0.0
At round 120, test loss is: 0.1986, metrics result is [0.9441336], train loss is 0.21154659986495972, c accuracy is 0.0
At round 121, test loss is: 0.1980, metrics result is [0.9438303], train loss is 0.21102474629878998, c accuracy is 0.0
At round 122, test loss is: 0.1976, metrics result is [0.9433315], train loss is 0.2105700671672821, c accuracy is 0.0
At round 123, test loss is: 0.1969, metrics result is [0.94343275], train loss is 0.21022634208202362, c accuracy is 0.0
At round 124, test loss is: 0.1965, metrics result is [0.9445537], train loss is 0.20960265398025513, c accuracy is 0.0
At round 125, test loss is: 0.1962, metrics result is [0.9447443], train loss is 0.20910699665546417, c accuracy is 0.0
At round 126, test loss is: 0.1960, metrics result is [0.94515884], train loss is 0.208665668964386, c accuracy is 0.0
At round 127, test loss is: 0.1954, metrics result is [0.944742], train loss is 0.20820732414722443, c accuracy is 0.0
At round 128, test loss is: 0.1949, metrics result is [0.94473684], train loss is 0.20776347815990448, c accuracy is 0.0
At round 129, test loss is: 0.1944, metrics result is [0.94435614], train loss is 0.20743028819561005, c accuracy is 0.0
At round 130, test loss is: 0.1940, metrics result is [0.94473666], train loss is 0.20692935585975647, c accuracy is 0.0
At round 131, test loss is: 0.1938, metrics result is [0.94525254], train loss is 0.20650862157344818, c accuracy is 0.0
At round 132, test loss is: 0.1933, metrics result is [0.94536155], train loss is 0.20594093203544617, c accuracy is 0.0
At round 133, test loss is: 0.1930, metrics result is [0.945468], train loss is 0.20550470054149628, c accuracy is 0.0
At round 134, test loss is: 0.1925, metrics result is [0.94555116], train loss is 0.20504631102085114, c accuracy is 0.0
At round 135, test loss is: 0.1921, metrics result is [0.9455572], train loss is 0.20463621616363525, c accuracy is 0.0
At round 136, test loss is: 0.1917, metrics result is [0.9457684], train loss is 0.20421704649925232, c accuracy is 0.0
At round 137, test loss is: 0.1913, metrics result is [0.945567], train loss is 0.20382975041866302, c accuracy is 0.0
At round 138, test loss is: 0.1911, metrics result is [0.94606155], train loss is 0.20341280102729797, c accuracy is 0.0
At round 139, test loss is: 0.1907, metrics result is [0.9453441], train loss is 0.20310933887958527, c accuracy is 0.0
At round 140, test loss is: 0.1902, metrics result is [0.94564193], train loss is 0.20264120399951935, c accuracy is 0.0
At round 141, test loss is: 0.1899, metrics result is [0.9461638], train loss is 0.2021491974592209, c accuracy is 0.0
At round 142, test loss is: 0.1895, metrics result is [0.945854], train loss is 0.2017820179462433, c accuracy is 0.0
At round 143, test loss is: 0.1892, metrics result is [0.94555724], train loss is 0.20139221847057343, c accuracy is 0.0
At round 144, test loss is: 0.1889, metrics result is [0.9461668], train loss is 0.20096389949321747, c accuracy is 0.0
At round 145, test loss is: 0.1884, metrics result is [0.94545084], train loss is 0.20062611997127533, c accuracy is 0.0
At round 146, test loss is: 0.1882, metrics result is [0.945463], train loss is 0.2002440094947815, c accuracy is 0.0
At round 147, test loss is: 0.1881, metrics result is [0.9459698], train loss is 0.1999311000108719, c accuracy is 0.0
At round 148, test loss is: 0.1875, metrics result is [0.94564366], train loss is 0.19954001903533936, c accuracy is 0.0
At round 149, test loss is: 0.1872, metrics result is [0.94626343], train loss is 0.1991015076637268, c accuracy is 0.0
At round 150, test loss is: 0.1868, metrics result is [0.94645804], train loss is 0.19871903955936432, c accuracy is 0.0
At round 151, test loss is: 0.1866, metrics result is [0.9461582], train loss is 0.19840416312217712, c accuracy is 0.0
At round 152, test loss is: 0.1864, metrics result is [0.9462436], train loss is 0.19822214543819427, c accuracy is 0.0
At round 153, test loss is: 0.1860, metrics result is [0.94596255], train loss is 0.19778989255428314, c accuracy is 0.0
At round 154, test loss is: 0.1854, metrics result is [0.94616896], train loss is 0.19729629158973694, c accuracy is 0.0
At round 155, test loss is: 0.1852, metrics result is [0.94626015], train loss is 0.1970495581626892, c accuracy is 0.0
At round 156, test loss is: 0.1847, metrics result is [0.94726706], train loss is 0.19669388234615326, c accuracy is 0.0
At round 157, test loss is: 0.1845, metrics result is [0.9469646], train loss is 0.1962684988975525, c accuracy is 0.0
At round 158, test loss is: 0.1841, metrics result is [0.9463627], train loss is 0.1959427446126938, c accuracy is 0.0
At round 159, test loss is: 0.1839, metrics result is [0.94676864], train loss is 0.19552211463451385, c accuracy is 0.0
At round 160, test loss is: 0.1837, metrics result is [0.9465604], train loss is 0.19525812566280365, c accuracy is 0.0
At round 161, test loss is: 0.1831, metrics result is [0.94676363], train loss is 0.19494391977787018, c accuracy is 0.0
At round 162, test loss is: 0.1828, metrics result is [0.9475631], train loss is 0.19454136490821838, c accuracy is 0.0
At round 163, test loss is: 0.1825, metrics result is [0.9468642], train loss is 0.19422908127307892, c accuracy is 0.0
At round 164, test loss is: 0.1821, metrics result is [0.94706064], train loss is 0.19391612708568573, c accuracy is 0.0
At round 165, test loss is: 0.1821, metrics result is [0.94665664], train loss is 0.1936257928609848, c accuracy is 0.0
At round 166, test loss is: 0.1817, metrics result is [0.9466421], train loss is 0.1932852566242218, c accuracy is 0.0
At round 167, test loss is: 0.1815, metrics result is [0.94756037], train loss is 0.19287307560443878, c accuracy is 0.0
At round 168, test loss is: 0.1810, metrics result is [0.94764274], train loss is 0.192572683095932, c accuracy is 0.0
At round 169, test loss is: 0.1808, metrics result is [0.9477566], train loss is 0.19225458800792694, c accuracy is 0.0
At round 170, test loss is: 0.1807, metrics result is [0.9476566], train loss is 0.19190259277820587, c accuracy is 0.0
At round 171, test loss is: 0.1806, metrics result is [0.94715387], train loss is 0.19172607362270355, c accuracy is 0.0
At round 172, test loss is: 0.1801, metrics result is [0.9473648], train loss is 0.19140473008155823, c accuracy is 0.0
At round 173, test loss is: 0.1796, metrics result is [0.9475547], train loss is 0.19090892374515533, c accuracy is 0.0
At round 174, test loss is: 0.1796, metrics result is [0.9474479], train loss is 0.19061654806137085, c accuracy is 0.0
At round 175, test loss is: 0.1792, metrics result is [0.9482656], train loss is 0.19028545916080475, c accuracy is 0.0
At round 176, test loss is: 0.1790, metrics result is [0.9480577], train loss is 0.1900080144405365, c accuracy is 0.0
At round 177, test loss is: 0.1787, metrics result is [0.9478528], train loss is 0.18971608579158783, c accuracy is 0.0
At round 178, test loss is: 0.1787, metrics result is [0.947743], train loss is 0.18947245180606842, c accuracy is 0.0
At round 179, test loss is: 0.1783, metrics result is [0.9476672], train loss is 0.18916012346744537, c accuracy is 0.0
At round 180, test loss is: 0.1782, metrics result is [0.9477492], train loss is 0.18895283341407776, c accuracy is 0.0
At round 181, test loss is: 0.1777, metrics result is [0.94773936], train loss is 0.18863578140735626, c accuracy is 0.0
At round 182, test loss is: 0.1773, metrics result is [0.9482424], train loss is 0.1882234364748001, c accuracy is 0.0
At round 183, test loss is: 0.1768, metrics result is [0.9479362], train loss is 0.1880018264055252, c accuracy is 0.0
At round 184, test loss is: 0.1767, metrics result is [0.94845957], train loss is 0.18768098950386047, c accuracy is 0.0
At round 185, test loss is: 0.1765, metrics result is [0.9487531], train loss is 0.18743345141410828, c accuracy is 0.0
At round 186, test loss is: 0.1765, metrics result is [0.9480406], train loss is 0.18718589842319489, c accuracy is 0.0
At round 187, test loss is: 0.1760, metrics result is [0.94804513], train loss is 0.18684841692447662, c accuracy is 0.0
At round 188, test loss is: 0.1759, metrics result is [0.9486344], train loss is 0.18653999269008636, c accuracy is 0.0
At round 189, test loss is: 0.1756, metrics result is [0.948334], train loss is 0.1862049698829651, c accuracy is 0.0
At round 190, test loss is: 0.1754, metrics result is [0.9487362], train loss is 0.18593046069145203, c accuracy is 0.0
At round 191, test loss is: 0.1749, metrics result is [0.9488381], train loss is 0.18569143116474152, c accuracy is 0.0
At round 192, test loss is: 0.1747, metrics result is [0.94852453], train loss is 0.18535619974136353, c accuracy is 0.0
At round 193, test loss is: 0.1745, metrics result is [0.94935125], train loss is 0.1850893348455429, c accuracy is 0.0
At round 194, test loss is: 0.1745, metrics result is [0.9484368], train loss is 0.18482451140880585, c accuracy is 0.0
At round 195, test loss is: 0.1740, metrics result is [0.94946694], train loss is 0.18457816541194916, c accuracy is 0.0
At round 196, test loss is: 0.1738, metrics result is [0.9493538], train loss is 0.18429537117481232, c accuracy is 0.0
At round 197, test loss is: 0.1735, metrics result is [0.94924736], train loss is 0.18406853079795837, c accuracy is 0.0
At round 198, test loss is: 0.1734, metrics result is [0.949161], train loss is 0.1837722212076187, c accuracy is 0.0
At round 199, test loss is: 0.1732, metrics result is [0.9492534], train loss is 0.1835155338048935, c accuracy is 0.0
