At round 1, test_loss is 2.3335, accuracy is 0.142822, max_norm is 0.1100, mean_norm is 0.0355
At round 21, test_loss is 1.7842, accuracy is 0.536541, max_norm is 0.1026, mean_norm is 0.0251
At round 22, test_loss is 1.7631, accuracy is 0.549080, max_norm is 0.1030, mean_norm is 0.0249
At round 23, test_loss is 1.7423, accuracy is 0.562770, max_norm is 0.1033, mean_norm is 0.0247
At round 24, test_loss is 1.7218, accuracy is 0.576847, max_norm is 0.1036, mean_norm is 0.0245
At round 25, test_loss is 1.7016, accuracy is 0.588229, max_norm is 0.1040, mean_norm is 0.0243
At round 26, test_loss is 1.6817, accuracy is 0.601495, max_norm is 0.1043, mean_norm is 0.0241
At round 27, test_loss is 1.6622, accuracy is 0.611985, max_norm is 0.1046, mean_norm is 0.0239
At round 28, test_loss is 1.6429, accuracy is 0.621733, max_norm is 0.1052, mean_norm is 0.0238
At round 29, test_loss is 1.6239, accuracy is 0.630668, max_norm is 0.1052, mean_norm is 0.0236
At round 30, test_loss is 1.6051, accuracy is 0.637983, max_norm is 0.1049, mean_norm is 0.0234
At round 31, test_loss is 1.5866, accuracy is 0.647984, max_norm is 0.1055, mean_norm is 0.0233
At round 32, test_loss is 1.5684, accuracy is 0.657473, max_norm is 0.1054, mean_norm is 0.0231
At round 33, test_loss is 1.5505, accuracy is 0.664602, max_norm is 0.1058, mean_norm is 0.0229
At round 34, test_loss is 1.5329, accuracy is 0.671295, max_norm is 0.1060, mean_norm is 0.0227
At round 35, test_loss is 1.5155, accuracy is 0.676690, max_norm is 0.1055, mean_norm is 0.0226
At round 36, test_loss is 1.4984, accuracy is 0.681695, max_norm is 0.1059, mean_norm is 0.0224
At round 37, test_loss is 1.4815, accuracy is 0.687010, max_norm is 0.1059, mean_norm is 0.0222
At round 38, test_loss is 1.4650, accuracy is 0.694358, max_norm is 0.1060, mean_norm is 0.0220
At round 39, test_loss is 1.4487, accuracy is 0.701584, max_norm is 0.1065, mean_norm is 0.0218
At round 40, test_loss is 1.4327, accuracy is 0.706504, max_norm is 0.1055, mean_norm is 0.0216
At round 41, test_loss is 1.4170, accuracy is 0.712245, max_norm is 0.1057, mean_norm is 0.0215
At round 42, test_loss is 1.4015, accuracy is 0.717150, max_norm is 0.1053, mean_norm is 0.0213
At round 43, test_loss is 1.3863, accuracy is 0.721569, max_norm is 0.1055, mean_norm is 0.0211
At round 44, test_loss is 1.3714, accuracy is 0.726567, max_norm is 0.1057, mean_norm is 0.0209
At round 45, test_loss is 1.3567, accuracy is 0.729471, max_norm is 0.1048, mean_norm is 0.0207
At round 46, test_loss is 1.3422, accuracy is 0.733771, max_norm is 0.1057, mean_norm is 0.0205
At round 47, test_loss is 1.3281, accuracy is 0.737216, max_norm is 0.1050, mean_norm is 0.0203
At round 48, test_loss is 1.3141, accuracy is 0.741059, max_norm is 0.1048, mean_norm is 0.0202
At round 49, test_loss is 1.3004, accuracy is 0.744778, max_norm is 0.1049, mean_norm is 0.0200
At round 50, test_loss is 1.2870, accuracy is 0.748895, max_norm is 0.1043, mean_norm is 0.0198
At round 51, test_loss is 1.2738, accuracy is 0.751029, max_norm is 0.1043, mean_norm is 0.0196
At round 52, test_loss is 1.2609, accuracy is 0.755068, max_norm is 0.1040, mean_norm is 0.0195
At round 53, test_loss is 1.2481, accuracy is 0.758926, max_norm is 0.1040, mean_norm is 0.0193
At round 54, test_loss is 1.2356, accuracy is 0.762458, max_norm is 0.1038, mean_norm is 0.0191
At round 55, test_loss is 1.2234, accuracy is 0.765879, max_norm is 0.1033, mean_norm is 0.0189
At round 56, test_loss is 1.2113, accuracy is 0.767503, max_norm is 0.1031, mean_norm is 0.0187
At round 57, test_loss is 1.1995, accuracy is 0.769833, max_norm is 0.1033, mean_norm is 0.0186
At round 58, test_loss is 1.1879, accuracy is 0.772468, max_norm is 0.1031, mean_norm is 0.0184
At round 59, test_loss is 1.1765, accuracy is 0.774684, max_norm is 0.1025, mean_norm is 0.0182
At round 60, test_loss is 1.1653, accuracy is 0.776720, max_norm is 0.1029, mean_norm is 0.0181
At round 61, test_loss is 1.1543, accuracy is 0.780069, max_norm is 0.1022, mean_norm is 0.0179
At round 62, test_loss is 1.1436, accuracy is 0.782080, max_norm is 0.1026, mean_norm is 0.0177
At round 63, test_loss is 1.1330, accuracy is 0.783494, max_norm is 0.1021, mean_norm is 0.0176
At round 64, test_loss is 1.1226, accuracy is 0.785017, max_norm is 0.1020, mean_norm is 0.0174
At round 65, test_loss is 1.1124, accuracy is 0.786734, max_norm is 0.1018, mean_norm is 0.0172
At round 66, test_loss is 1.1024, accuracy is 0.788352, max_norm is 0.1011, mean_norm is 0.0171
At round 67, test_loss is 0.9968, accuracy is 0.839436, max_norm is 0.1014, mean_norm is 0.0169
At round 68, test_loss is 0.9196, accuracy is 0.861529, max_norm is 0.0922, mean_norm is 0.0486
At round 69, test_loss is 0.8605, accuracy is 0.871938, max_norm is 0.0856, mean_norm is 0.0426
At round 70, test_loss is 0.8136, accuracy is 0.877547, max_norm is 0.0796, mean_norm is 0.0379
At round 71, test_loss is 0.7752, accuracy is 0.882270, max_norm is 0.0763, mean_norm is 0.0343
At round 72, test_loss is 0.7429, accuracy is 0.884355, max_norm is 0.0730, mean_norm is 0.0314
At round 73, test_loss is 0.7151, accuracy is 0.886501, max_norm is 0.0702, mean_norm is 0.0290
At round 74, test_loss is 0.6910, accuracy is 0.888717, max_norm is 0.0681, mean_norm is 0.0270
At round 75, test_loss is 0.6696, accuracy is 0.889834, max_norm is 0.0662, mean_norm is 0.0253
At round 76, test_loss is 0.6505, accuracy is 0.891543, max_norm is 0.0647, mean_norm is 0.0239
At round 77, test_loss is 0.6332, accuracy is 0.893243, max_norm is 0.0637, mean_norm is 0.0227
At round 78, test_loss is 0.6175, accuracy is 0.895154, max_norm is 0.0619, mean_norm is 0.0215
At round 79, test_loss is 0.6031, accuracy is 0.896366, max_norm is 0.0608, mean_norm is 0.0206
At round 80, test_loss is 0.5898, accuracy is 0.897967, max_norm is 0.0599, mean_norm is 0.0197
At round 81, test_loss is 0.5775, accuracy is 0.898963, max_norm is 0.0589, mean_norm is 0.0189
At round 82, test_loss is 0.5660, accuracy is 0.900452, max_norm is 0.0584, mean_norm is 0.0182
At round 83, test_loss is 0.5553, accuracy is 0.901354, max_norm is 0.0576, mean_norm is 0.0175
At round 84, test_loss is 0.5452, accuracy is 0.902183, max_norm is 0.0565, mean_norm is 0.0169
At round 85, test_loss is 0.5357, accuracy is 0.903189, max_norm is 0.0551, mean_norm is 0.0164
At round 86, test_loss is 0.5268, accuracy is 0.903805, max_norm is 0.0553, mean_norm is 0.0159
At round 87, test_loss is 0.5183, accuracy is 0.904413, max_norm is 0.0545, mean_norm is 0.0154
At round 88, test_loss is 0.5103, accuracy is 0.904914, max_norm is 0.0539, mean_norm is 0.0150
At round 89, test_loss is 0.5027, accuracy is 0.905110, max_norm is 0.0535, mean_norm is 0.0146
At round 90, test_loss is 0.4954, accuracy is 0.906420, max_norm is 0.0524, mean_norm is 0.0142
At round 91, test_loss is 0.4884, accuracy is 0.906921, max_norm is 0.0525, mean_norm is 0.0138
At round 92, test_loss is 0.4818, accuracy is 0.907724, max_norm is 0.0518, mean_norm is 0.0135
At round 93, test_loss is 0.4754, accuracy is 0.908509, max_norm is 0.0513, mean_norm is 0.0132
At round 94, test_loss is 0.4694, accuracy is 0.909721, max_norm is 0.0511, mean_norm is 0.0129
At round 95, test_loss is 0.4635, accuracy is 0.909914, max_norm is 0.0504, mean_norm is 0.0126
At round 96, test_loss is 0.4579, accuracy is 0.910514, max_norm is 0.0505, mean_norm is 0.0123
At round 97, test_loss is 0.4525, accuracy is 0.911401, max_norm is 0.0494, mean_norm is 0.0121
At round 98, test_loss is 0.4473, accuracy is 0.912002, max_norm is 0.0495, mean_norm is 0.0118
At round 99, test_loss is 0.4423, accuracy is 0.912208, max_norm is 0.0491, mean_norm is 0.0116
At round 100, test_loss is 0.4375, accuracy is 0.913195, max_norm is 0.0487, mean_norm is 0.0113
At round 101, test_loss is 0.4328, accuracy is 0.913599, max_norm is 0.0481, mean_norm is 0.0111
At round 102, test_loss is 0.4283, accuracy is 0.914006, max_norm is 0.0477, mean_norm is 0.0109
At round 103, test_loss is 0.4239, accuracy is 0.914590, max_norm is 0.0472, mean_norm is 0.0107
At round 104, test_loss is 0.4197, accuracy is 0.915480, max_norm is 0.0470, mean_norm is 0.0105
At round 105, test_loss is 0.4156, accuracy is 0.915785, max_norm is 0.0465, mean_norm is 0.0104
At round 106, test_loss is 0.4117, accuracy is 0.916576, max_norm is 0.0465, mean_norm is 0.0102
At round 107, test_loss is 0.4078, accuracy is 0.917186, max_norm is 0.0469, mean_norm is 0.0100
At round 108, test_loss is 0.4041, accuracy is 0.917672, max_norm is 0.0456, mean_norm is 0.0099
At round 109, test_loss is 0.4005, accuracy is 0.918069, max_norm is 0.0455, mean_norm is 0.0097
At round 110, test_loss is 0.3970, accuracy is 0.918268, max_norm is 0.0451, mean_norm is 0.0095
At round 111, test_loss is 0.3936, accuracy is 0.918570, max_norm is 0.0441, mean_norm is 0.0094
At round 112, test_loss is 0.3903, accuracy is 0.918980, max_norm is 0.0442, mean_norm is 0.0093
At round 113, test_loss is 0.3870, accuracy is 0.919176, max_norm is 0.0447, mean_norm is 0.0091
At round 114, test_loss is 0.3839, accuracy is 0.919789, max_norm is 0.0441, mean_norm is 0.0090
At round 115, test_loss is 0.3809, accuracy is 0.919998, max_norm is 0.0438, mean_norm is 0.0089
At round 116, test_loss is 0.3779, accuracy is 0.920204, max_norm is 0.0437, mean_norm is 0.0087
At round 117, test_loss is 0.3750, accuracy is 0.920512, max_norm is 0.0434, mean_norm is 0.0086
At round 118, test_loss is 0.3722, accuracy is 0.920919, max_norm is 0.0436, mean_norm is 0.0085
At round 119, test_loss is 0.3694, accuracy is 0.921218, max_norm is 0.0435, mean_norm is 0.0084
At round 120, test_loss is 0.3667, accuracy is 0.921425, max_norm is 0.0424, mean_norm is 0.0083
At round 121, test_loss is 0.3641, accuracy is 0.921730, max_norm is 0.0422, mean_norm is 0.0082
At round 122, test_loss is 0.3616, accuracy is 0.922237, max_norm is 0.0424, mean_norm is 0.0080
At round 123, test_loss is 0.3591, accuracy is 0.922342, max_norm is 0.0423, mean_norm is 0.0079
At round 124, test_loss is 0.3566, accuracy is 0.922741, max_norm is 0.0418, mean_norm is 0.0079
At round 125, test_loss is 0.3543, accuracy is 0.922845, max_norm is 0.0416, mean_norm is 0.0078
At round 126, test_loss is 0.3519, accuracy is 0.923258, max_norm is 0.0412, mean_norm is 0.0077
At round 127, test_loss is 0.3497, accuracy is 0.923359, max_norm is 0.0408, mean_norm is 0.0076
At round 128, test_loss is 0.3474, accuracy is 0.923744, max_norm is 0.0409, mean_norm is 0.0075
At round 129, test_loss is 0.3452, accuracy is 0.924243, max_norm is 0.0404, mean_norm is 0.0074
At round 130, test_loss is 0.3431, accuracy is 0.924437, max_norm is 0.0402, mean_norm is 0.0073
At round 131, test_loss is 0.3411, accuracy is 0.924643, max_norm is 0.0399, mean_norm is 0.0072
At round 132, test_loss is 0.3390, accuracy is 0.924745, max_norm is 0.0402, mean_norm is 0.0072
At round 133, test_loss is 0.3370, accuracy is 0.924851, max_norm is 0.0398, mean_norm is 0.0071
At round 134, test_loss is 0.3351, accuracy is 0.925252, max_norm is 0.0401, mean_norm is 0.0070
At round 135, test_loss is 0.3332, accuracy is 0.925460, max_norm is 0.0403, mean_norm is 0.0069
At round 136, test_loss is 0.3313, accuracy is 0.925459, max_norm is 0.0396, mean_norm is 0.0068
At round 137, test_loss is 0.3294, accuracy is 0.926162, max_norm is 0.0395, mean_norm is 0.0068
At round 138, test_loss is 0.3277, accuracy is 0.926669, max_norm is 0.0396, mean_norm is 0.0067
At round 139, test_loss is 0.3259, accuracy is 0.926981, max_norm is 0.0396, mean_norm is 0.0066
At round 140, test_loss is 0.3241, accuracy is 0.927777, max_norm is 0.0387, mean_norm is 0.0066
At round 141, test_loss is 0.3224, accuracy is 0.927779, max_norm is 0.0389, mean_norm is 0.0065
At round 142, test_loss is 0.3208, accuracy is 0.928083, max_norm is 0.0391, mean_norm is 0.0065
At round 143, test_loss is 0.3191, accuracy is 0.928284, max_norm is 0.0379, mean_norm is 0.0064
At round 144, test_loss is 0.3175, accuracy is 0.928373, max_norm is 0.0389, mean_norm is 0.0063
At round 145, test_loss is 0.3159, accuracy is 0.928477, max_norm is 0.0385, mean_norm is 0.0063
At round 146, test_loss is 0.3144, accuracy is 0.928881, max_norm is 0.0381, mean_norm is 0.0062
At round 147, test_loss is 0.3129, accuracy is 0.929090, max_norm is 0.0377, mean_norm is 0.0061
At round 148, test_loss is 0.3114, accuracy is 0.929287, max_norm is 0.0372, mean_norm is 0.0061
At round 149, test_loss is 0.3099, accuracy is 0.929686, max_norm is 0.0383, mean_norm is 0.0060
At round 150, test_loss is 0.3085, accuracy is 0.929686, max_norm is 0.0373, mean_norm is 0.0060
At round 151, test_loss is 0.3071, accuracy is 0.929781, max_norm is 0.0378, mean_norm is 0.0059
At round 152, test_loss is 0.3057, accuracy is 0.929991, max_norm is 0.0379, mean_norm is 0.0059
At round 153, test_loss is 0.3043, accuracy is 0.929882, max_norm is 0.0369, mean_norm is 0.0058
At round 154, test_loss is 0.3029, accuracy is 0.930294, max_norm is 0.0373, mean_norm is 0.0058
At round 155, test_loss is 0.3016, accuracy is 0.930491, max_norm is 0.0367, mean_norm is 0.0057
At round 156, test_loss is 0.3003, accuracy is 0.930590, max_norm is 0.0369, mean_norm is 0.0057
At round 157, test_loss is 0.2990, accuracy is 0.930689, max_norm is 0.0365, mean_norm is 0.0056
At round 158, test_loss is 0.2978, accuracy is 0.930792, max_norm is 0.0364, mean_norm is 0.0056
At round 159, test_loss is 0.2965, accuracy is 0.930904, max_norm is 0.0366, mean_norm is 0.0055
At round 160, test_loss is 0.2953, accuracy is 0.931213, max_norm is 0.0368, mean_norm is 0.0055
At round 161, test_loss is 0.2941, accuracy is 0.931317, max_norm is 0.0362, mean_norm is 0.0055
At round 162, test_loss is 0.2929, accuracy is 0.931422, max_norm is 0.0359, mean_norm is 0.0054
At round 163, test_loss is 0.2918, accuracy is 0.931213, max_norm is 0.0366, mean_norm is 0.0054
At round 164, test_loss is 0.2906, accuracy is 0.931210, max_norm is 0.0356, mean_norm is 0.0053
At round 165, test_loss is 0.2895, accuracy is 0.931307, max_norm is 0.0356, mean_norm is 0.0053
At round 166, test_loss is 0.2884, accuracy is 0.931409, max_norm is 0.0360, mean_norm is 0.0052
At round 167, test_loss is 0.2873, accuracy is 0.931714, max_norm is 0.0358, mean_norm is 0.0052
At round 168, test_loss is 0.2862, accuracy is 0.931816, max_norm is 0.0351, mean_norm is 0.0052
At round 169, test_loss is 0.2851, accuracy is 0.932221, max_norm is 0.0347, mean_norm is 0.0051
At round 170, test_loss is 0.2841, accuracy is 0.932221, max_norm is 0.0353, mean_norm is 0.0051
At round 171, test_loss is 0.2830, accuracy is 0.932319, max_norm is 0.0360, mean_norm is 0.0050
At round 172, test_loss is 0.2820, accuracy is 0.932319, max_norm is 0.0344, mean_norm is 0.0050
At round 173, test_loss is 0.2810, accuracy is 0.932517, max_norm is 0.0346, mean_norm is 0.0050
At round 174, test_loss is 0.2800, accuracy is 0.932618, max_norm is 0.0348, mean_norm is 0.0049
At round 175, test_loss is 0.2790, accuracy is 0.932725, max_norm is 0.0344, mean_norm is 0.0049
At round 176, test_loss is 0.2781, accuracy is 0.932933, max_norm is 0.0344, mean_norm is 0.0049
At round 177, test_loss is 0.2771, accuracy is 0.932933, max_norm is 0.0342, mean_norm is 0.0048
At round 178, test_loss is 0.2762, accuracy is 0.932932, max_norm is 0.0345, mean_norm is 0.0048
At round 179, test_loss is 0.2753, accuracy is 0.933239, max_norm is 0.0341, mean_norm is 0.0048
At round 180, test_loss is 0.2743, accuracy is 0.933438, max_norm is 0.0340, mean_norm is 0.0047
At round 181, test_loss is 0.2734, accuracy is 0.933433, max_norm is 0.0334, mean_norm is 0.0047
At round 182, test_loss is 0.2725, accuracy is 0.933732, max_norm is 0.0338, mean_norm is 0.0047
At round 183, test_loss is 0.2717, accuracy is 0.934044, max_norm is 0.0341, mean_norm is 0.0046
At round 184, test_loss is 0.2708, accuracy is 0.934042, max_norm is 0.0337, mean_norm is 0.0046
At round 185, test_loss is 0.2699, accuracy is 0.934138, max_norm is 0.0342, mean_norm is 0.0046
At round 186, test_loss is 0.2691, accuracy is 0.934138, max_norm is 0.0337, mean_norm is 0.0045
At round 187, test_loss is 0.2683, accuracy is 0.934242, max_norm is 0.0338, mean_norm is 0.0045
At round 188, test_loss is 0.2675, accuracy is 0.934246, max_norm is 0.0326, mean_norm is 0.0045
At round 189, test_loss is 0.2667, accuracy is 0.934542, max_norm is 0.0332, mean_norm is 0.0045
At round 190, test_loss is 0.2659, accuracy is 0.934544, max_norm is 0.0334, mean_norm is 0.0044
At round 191, test_loss is 0.2651, accuracy is 0.934544, max_norm is 0.0327, mean_norm is 0.0044
At round 192, test_loss is 0.2643, accuracy is 0.934544, max_norm is 0.0331, mean_norm is 0.0044
At round 193, test_loss is 0.2635, accuracy is 0.934744, max_norm is 0.0334, mean_norm is 0.0043
At round 194, test_loss is 0.2627, accuracy is 0.935048, max_norm is 0.0331, mean_norm is 0.0043
At round 195, test_loss is 0.2620, accuracy is 0.935353, max_norm is 0.0324, mean_norm is 0.0043
At round 196, test_loss is 0.2612, accuracy is 0.935553, max_norm is 0.0323, mean_norm is 0.0043
At round 197, test_loss is 0.2605, accuracy is 0.935753, max_norm is 0.0323, mean_norm is 0.0042
At round 198, test_loss is 0.2598, accuracy is 0.936051, max_norm is 0.0326, mean_norm is 0.0042
At round 199, test_loss is 0.2590, accuracy is 0.936243, max_norm is 0.0324, mean_norm is 0.0042
At round 200, test_loss is 0.2583, accuracy is 0.936345, max_norm is 0.0325, mean_norm is 0.0042
