At round 0, test loss is: 2.2187, metrics result is [0.1746995], train loss is 2.224180221557617, c accuracy is 0.53
At round 34, test loss is: 0.5489, metrics result is [0.89330834], train loss is 0.5742738842964172, c accuracy is 0.12
At round 35, test loss is: 0.5347, metrics result is [0.8960628], train loss is 0.5600395798683167, c accuracy is 0.12
At round 36, test loss is: 0.5215, metrics result is [0.89755523], train loss is 0.5465524196624756, c accuracy is 0.11
At round 37, test loss is: 0.5082, metrics result is [0.9010934], train loss is 0.5333689451217651, c accuracy is 0.07
At round 38, test loss is: 0.4955, metrics result is [0.9036547], train loss is 0.52045077085495, c accuracy is 0.06
At round 39, test loss is: 0.4837, metrics result is [0.9059748], train loss is 0.5084533095359802, c accuracy is 0.05
At round 40, test loss is: 0.4712, metrics result is [0.908612], train loss is 0.4956669509410858, c accuracy is 0.05
At round 41, test loss is: 0.4619, metrics result is [0.9124658], train loss is 0.4859909415245056, c accuracy is 0.04
At round 42, test loss is: 0.4529, metrics result is [0.9132331], train loss is 0.4765814244747162, c accuracy is 0.04
At round 43, test loss is: 0.4442, metrics result is [0.9153601], train loss is 0.46751153469085693, c accuracy is 0.03
At round 44, test loss is: 0.4356, metrics result is [0.9158455], train loss is 0.4586825966835022, c accuracy is 0.03
At round 45, test loss is: 0.4276, metrics result is [0.9178575], train loss is 0.4500962197780609, c accuracy is 0.02
At round 46, test loss is: 0.4194, metrics result is [0.9193946], train loss is 0.44162166118621826, c accuracy is 0.02
At round 47, test loss is: 0.4115, metrics result is [0.92007947], train loss is 0.4334181845188141, c accuracy is 0.02
At round 48, test loss is: 0.4039, metrics result is [0.9211884], train loss is 0.4256955683231354, c accuracy is 0.02
At round 49, test loss is: 0.3964, metrics result is [0.92264485], train loss is 0.4177961051464081, c accuracy is 0.01
At round 50, test loss is: 0.3892, metrics result is [0.92335856], train loss is 0.4103470742702484, c accuracy is 0.01
At round 51, test loss is: 0.3821, metrics result is [0.9245638], train loss is 0.4031268358230591, c accuracy is 0.01
At round 52, test loss is: 0.3753, metrics result is [0.92538404], train loss is 0.39624539017677307, c accuracy is 0.01
At round 53, test loss is: 0.3691, metrics result is [0.92600477], train loss is 0.3895110785961151, c accuracy is 0.01
At round 54, test loss is: 0.3627, metrics result is [0.92670214], train loss is 0.38282260298728943, c accuracy is 0.01
At round 55, test loss is: 0.3566, metrics result is [0.9272993], train loss is 0.37651172280311584, c accuracy is 0.01
At round 56, test loss is: 0.3504, metrics result is [0.92869437], train loss is 0.37031877040863037, c accuracy is 0.01
At round 57, test loss is: 0.3446, metrics result is [0.92940795], train loss is 0.364203542470932, c accuracy is 0.01
At round 58, test loss is: 0.3393, metrics result is [0.93024886], train loss is 0.3584557771682739, c accuracy is 0.01
At round 59, test loss is: 0.3336, metrics result is [0.9311435], train loss is 0.35276949405670166, c accuracy is 0.01
At round 60, test loss is: 0.3283, metrics result is [0.9314563], train loss is 0.3473897874355316, c accuracy is 0.01
At round 61, test loss is: 0.3230, metrics result is [0.9325888], train loss is 0.3419673442840576, c accuracy is 0.01
At round 62, test loss is: 0.3184, metrics result is [0.9330873], train loss is 0.3368825912475586, c accuracy is 0.0
At round 63, test loss is: 0.3136, metrics result is [0.9331794], train loss is 0.3318288028240204, c accuracy is 0.0
At round 64, test loss is: 0.3090, metrics result is [0.9338036], train loss is 0.3270900249481201, c accuracy is 0.0
At round 65, test loss is: 0.3047, metrics result is [0.93377733], train loss is 0.32262882590293884, c accuracy is 0.0
At round 66, test loss is: 0.3003, metrics result is [0.9345085], train loss is 0.3181701600551605, c accuracy is 0.0
At round 67, test loss is: 0.2963, metrics result is [0.9348837], train loss is 0.31383606791496277, c accuracy is 0.0
At round 68, test loss is: 0.2925, metrics result is [0.934067], train loss is 0.3097435534000397, c accuracy is 0.0
At round 69, test loss is: 0.2886, metrics result is [0.934167], train loss is 0.3057033121585846, c accuracy is 0.0
At round 70, test loss is: 0.2850, metrics result is [0.9351594], train loss is 0.30207183957099915, c accuracy is 0.0
At round 71, test loss is: 0.2815, metrics result is [0.93556696], train loss is 0.2984151840209961, c accuracy is 0.0
At round 72, test loss is: 0.2780, metrics result is [0.93575335], train loss is 0.29486531019210815, c accuracy is 0.0
At round 73, test loss is: 0.2746, metrics result is [0.9367706], train loss is 0.2914261519908905, c accuracy is 0.0
At round 74, test loss is: 0.2714, metrics result is [0.9366634], train loss is 0.2881958484649658, c accuracy is 0.0
At round 75, test loss is: 0.2681, metrics result is [0.9372843], train loss is 0.2848404049873352, c accuracy is 0.0
At round 76, test loss is: 0.2651, metrics result is [0.9377659], train loss is 0.2818731367588043, c accuracy is 0.0
At round 77, test loss is: 0.2624, metrics result is [0.9385672], train loss is 0.27904728055000305, c accuracy is 0.0
At round 78, test loss is: 0.2598, metrics result is [0.9378548], train loss is 0.2761809229850769, c accuracy is 0.0
At round 79, test loss is: 0.2574, metrics result is [0.9385723], train loss is 0.2735021412372589, c accuracy is 0.0
At round 80, test loss is: 0.2551, metrics result is [0.9386704], train loss is 0.271114319562912, c accuracy is 0.0
At round 81, test loss is: 0.2527, metrics result is [0.93778807], train loss is 0.26854801177978516, c accuracy is 0.0
At round 82, test loss is: 0.2500, metrics result is [0.9385685], train loss is 0.2659243643283844, c accuracy is 0.0
At round 83, test loss is: 0.2478, metrics result is [0.9390738], train loss is 0.2635917663574219, c accuracy is 0.0
At round 84, test loss is: 0.2457, metrics result is [0.9391697], train loss is 0.2616075277328491, c accuracy is 0.0
At round 85, test loss is: 0.2440, metrics result is [0.9393714], train loss is 0.25927114486694336, c accuracy is 0.0
At round 86, test loss is: 0.2419, metrics result is [0.93916184], train loss is 0.25718462467193604, c accuracy is 0.0
At round 87, test loss is: 0.2399, metrics result is [0.9394577], train loss is 0.2551579475402832, c accuracy is 0.0
At round 88, test loss is: 0.2381, metrics result is [0.93946195], train loss is 0.25326672196388245, c accuracy is 0.0
At round 89, test loss is: 0.2363, metrics result is [0.9394743], train loss is 0.2514677941799164, c accuracy is 0.0
At round 90, test loss is: 0.2345, metrics result is [0.93965966], train loss is 0.24976615607738495, c accuracy is 0.0
At round 91, test loss is: 0.2330, metrics result is [0.94004935], train loss is 0.24811016023159027, c accuracy is 0.0
At round 92, test loss is: 0.2314, metrics result is [0.9402592], train loss is 0.24650384485721588, c accuracy is 0.0
At round 93, test loss is: 0.2297, metrics result is [0.9405613], train loss is 0.24488550424575806, c accuracy is 0.0
At round 94, test loss is: 0.2284, metrics result is [0.94045633], train loss is 0.2433725893497467, c accuracy is 0.0
At round 95, test loss is: 0.2274, metrics result is [0.93987846], train loss is 0.2420509159564972, c accuracy is 0.0
At round 96, test loss is: 0.2258, metrics result is [0.94046426], train loss is 0.24068239331245422, c accuracy is 0.0
At round 97, test loss is: 0.2247, metrics result is [0.9405684], train loss is 0.23945780098438263, c accuracy is 0.0
At round 98, test loss is: 0.2233, metrics result is [0.94035316], train loss is 0.23806537687778473, c accuracy is 0.0
At round 99, test loss is: 0.2220, metrics result is [0.9408635], train loss is 0.23677703738212585, c accuracy is 0.0
At round 100, test loss is: 0.2210, metrics result is [0.9414597], train loss is 0.23552045226097107, c accuracy is 0.0
At round 101, test loss is: 0.2202, metrics result is [0.94096595], train loss is 0.2344166338443756, c accuracy is 0.0
At round 102, test loss is: 0.2190, metrics result is [0.9416698], train loss is 0.23328149318695068, c accuracy is 0.0
At round 103, test loss is: 0.2178, metrics result is [0.9414686], train loss is 0.23215822875499725, c accuracy is 0.0
At round 104, test loss is: 0.2168, metrics result is [0.9415699], train loss is 0.23101161420345306, c accuracy is 0.0
At round 105, test loss is: 0.2161, metrics result is [0.9420801], train loss is 0.2301071733236313, c accuracy is 0.0
At round 106, test loss is: 0.2151, metrics result is [0.9414581], train loss is 0.22926479578018188, c accuracy is 0.0
At round 107, test loss is: 0.2139, metrics result is [0.9418731], train loss is 0.22815214097499847, c accuracy is 0.0
At round 108, test loss is: 0.2129, metrics result is [0.94237554], train loss is 0.22714906930923462, c accuracy is 0.0
At round 109, test loss is: 0.2122, metrics result is [0.94228244], train loss is 0.22637993097305298, c accuracy is 0.0
At round 110, test loss is: 0.2114, metrics result is [0.9422758], train loss is 0.22557441890239716, c accuracy is 0.0
At round 111, test loss is: 0.2109, metrics result is [0.9428936], train loss is 0.22483566403388977, c accuracy is 0.0
At round 112, test loss is: 0.2099, metrics result is [0.9423941], train loss is 0.22386714816093445, c accuracy is 0.0
At round 113, test loss is: 0.2093, metrics result is [0.94279516], train loss is 0.22318002581596375, c accuracy is 0.0
At round 114, test loss is: 0.2084, metrics result is [0.942995], train loss is 0.22238855063915253, c accuracy is 0.0
At round 115, test loss is: 0.2075, metrics result is [0.9427847], train loss is 0.22158952057361603, c accuracy is 0.0
At round 116, test loss is: 0.2068, metrics result is [0.9426733], train loss is 0.22066789865493774, c accuracy is 0.0
At round 117, test loss is: 0.2060, metrics result is [0.9432738], train loss is 0.2199944257736206, c accuracy is 0.0
At round 118, test loss is: 0.2052, metrics result is [0.9433779], train loss is 0.21925874054431915, c accuracy is 0.0
At round 119, test loss is: 0.2047, metrics result is [0.9431879], train loss is 0.21864357590675354, c accuracy is 0.0
At round 120, test loss is: 0.2040, metrics result is [0.94371027], train loss is 0.21776147186756134, c accuracy is 0.0
At round 121, test loss is: 0.2034, metrics result is [0.9434116], train loss is 0.21714535355567932, c accuracy is 0.0
At round 122, test loss is: 0.2027, metrics result is [0.943396], train loss is 0.2165539711713791, c accuracy is 0.0
At round 123, test loss is: 0.2021, metrics result is [0.9432969], train loss is 0.2159402072429657, c accuracy is 0.0
At round 124, test loss is: 0.2016, metrics result is [0.94341695], train loss is 0.21528147161006927, c accuracy is 0.0
At round 125, test loss is: 0.2010, metrics result is [0.9436128], train loss is 0.21460410952568054, c accuracy is 0.0
At round 126, test loss is: 0.2003, metrics result is [0.94377923], train loss is 0.21422719955444336, c accuracy is 0.0
At round 127, test loss is: 0.1999, metrics result is [0.9434904], train loss is 0.2136177122592926, c accuracy is 0.0
At round 128, test loss is: 0.1992, metrics result is [0.9438097], train loss is 0.21299204230308533, c accuracy is 0.0
At round 129, test loss is: 0.1990, metrics result is [0.943924], train loss is 0.2125452160835266, c accuracy is 0.0
At round 130, test loss is: 0.1984, metrics result is [0.9440264], train loss is 0.21191774308681488, c accuracy is 0.0
At round 131, test loss is: 0.1978, metrics result is [0.944016], train loss is 0.21132850646972656, c accuracy is 0.0
At round 132, test loss is: 0.1974, metrics result is [0.9440177], train loss is 0.21078656613826752, c accuracy is 0.0
At round 133, test loss is: 0.1970, metrics result is [0.9440335], train loss is 0.2102503627538681, c accuracy is 0.0
At round 134, test loss is: 0.1965, metrics result is [0.9451235], train loss is 0.20971204340457916, c accuracy is 0.0
At round 135, test loss is: 0.1961, metrics result is [0.94453436], train loss is 0.20921878516674042, c accuracy is 0.0
At round 136, test loss is: 0.1956, metrics result is [0.9444334], train loss is 0.20866668224334717, c accuracy is 0.0
At round 137, test loss is: 0.1950, metrics result is [0.94473135], train loss is 0.2081911414861679, c accuracy is 0.0
At round 138, test loss is: 0.1947, metrics result is [0.9448304], train loss is 0.20772266387939453, c accuracy is 0.0
At round 139, test loss is: 0.1938, metrics result is [0.9448384], train loss is 0.20712076127529144, c accuracy is 0.0
At round 140, test loss is: 0.1934, metrics result is [0.94471496], train loss is 0.20675741136074066, c accuracy is 0.0
At round 141, test loss is: 0.1930, metrics result is [0.94493157], train loss is 0.20627722144126892, c accuracy is 0.0
At round 142, test loss is: 0.1926, metrics result is [0.9451432], train loss is 0.20572738349437714, c accuracy is 0.0
At round 143, test loss is: 0.1922, metrics result is [0.9455321], train loss is 0.20533724129199982, c accuracy is 0.0
At round 144, test loss is: 0.1919, metrics result is [0.9457454], train loss is 0.2048521488904953, c accuracy is 0.0
At round 145, test loss is: 0.1917, metrics result is [0.9455245], train loss is 0.2045479416847229, c accuracy is 0.0
At round 146, test loss is: 0.1911, metrics result is [0.9458296], train loss is 0.20405617356300354, c accuracy is 0.0
At round 147, test loss is: 0.1906, metrics result is [0.94633603], train loss is 0.20358344912528992, c accuracy is 0.0
At round 148, test loss is: 0.1905, metrics result is [0.94636977], train loss is 0.20318816602230072, c accuracy is 0.0
At round 149, test loss is: 0.1899, metrics result is [0.946662], train loss is 0.20277062058448792, c accuracy is 0.0
At round 150, test loss is: 0.1895, metrics result is [0.9464435], train loss is 0.20240572094917297, c accuracy is 0.0
At round 151, test loss is: 0.1892, metrics result is [0.9464349], train loss is 0.20204488933086395, c accuracy is 0.0
At round 152, test loss is: 0.1888, metrics result is [0.9465466], train loss is 0.2015986293554306, c accuracy is 0.0
At round 153, test loss is: 0.1885, metrics result is [0.9458319], train loss is 0.20127500593662262, c accuracy is 0.0
At round 154, test loss is: 0.1881, metrics result is [0.9464295], train loss is 0.20090441405773163, c accuracy is 0.0
At round 155, test loss is: 0.1878, metrics result is [0.9462247], train loss is 0.20055803656578064, c accuracy is 0.0
At round 156, test loss is: 0.1875, metrics result is [0.94603187], train loss is 0.20018038153648376, c accuracy is 0.0
At round 157, test loss is: 0.1870, metrics result is [0.9462264], train loss is 0.19977229833602905, c accuracy is 0.0
At round 158, test loss is: 0.1868, metrics result is [0.9464296], train loss is 0.1994539499282837, c accuracy is 0.0
At round 159, test loss is: 0.1863, metrics result is [0.9465128], train loss is 0.19910848140716553, c accuracy is 0.0
At round 160, test loss is: 0.1861, metrics result is [0.94665873], train loss is 0.1986503154039383, c accuracy is 0.0
At round 161, test loss is: 0.1859, metrics result is [0.94705653], train loss is 0.1982233077287674, c accuracy is 0.0
At round 162, test loss is: 0.1853, metrics result is [0.9465442], train loss is 0.19785471260547638, c accuracy is 0.0
At round 163, test loss is: 0.1849, metrics result is [0.94696325], train loss is 0.197440505027771, c accuracy is 0.0
At round 164, test loss is: 0.1845, metrics result is [0.94693214], train loss is 0.19713838398456573, c accuracy is 0.0
At round 165, test loss is: 0.1842, metrics result is [0.9470417], train loss is 0.19677361845970154, c accuracy is 0.0
At round 166, test loss is: 0.1839, metrics result is [0.94786096], train loss is 0.19639450311660767, c accuracy is 0.0
At round 167, test loss is: 0.1836, metrics result is [0.9471541], train loss is 0.19603490829467773, c accuracy is 0.0
At round 168, test loss is: 0.1834, metrics result is [0.94724], train loss is 0.19579143822193146, c accuracy is 0.0
At round 169, test loss is: 0.1830, metrics result is [0.94692534], train loss is 0.19554397463798523, c accuracy is 0.0
At round 170, test loss is: 0.1826, metrics result is [0.94693017], train loss is 0.19505250453948975, c accuracy is 0.0
At round 171, test loss is: 0.1826, metrics result is [0.94714683], train loss is 0.19473280012607574, c accuracy is 0.0
At round 172, test loss is: 0.1823, metrics result is [0.94704306], train loss is 0.19453124701976776, c accuracy is 0.0
At round 173, test loss is: 0.1819, metrics result is [0.94765055], train loss is 0.19410566985607147, c accuracy is 0.0
At round 174, test loss is: 0.1815, metrics result is [0.94764566], train loss is 0.19379375874996185, c accuracy is 0.0
At round 175, test loss is: 0.1810, metrics result is [0.94762903], train loss is 0.1934487521648407, c accuracy is 0.0
At round 176, test loss is: 0.1810, metrics result is [0.9475376], train loss is 0.1931784600019455, c accuracy is 0.0
At round 177, test loss is: 0.1808, metrics result is [0.9476448], train loss is 0.19293364882469177, c accuracy is 0.0
At round 178, test loss is: 0.1806, metrics result is [0.9478526], train loss is 0.19264055788516998, c accuracy is 0.0
At round 179, test loss is: 0.1801, metrics result is [0.94823563], train loss is 0.19229581952095032, c accuracy is 0.0
At round 180, test loss is: 0.1796, metrics result is [0.9481266], train loss is 0.19194193184375763, c accuracy is 0.0
At round 181, test loss is: 0.1796, metrics result is [0.948143], train loss is 0.19172245264053345, c accuracy is 0.0
At round 182, test loss is: 0.1793, metrics result is [0.94795173], train loss is 0.19136758148670197, c accuracy is 0.0
At round 183, test loss is: 0.1790, metrics result is [0.9478397], train loss is 0.19095750153064728, c accuracy is 0.0
At round 184, test loss is: 0.1784, metrics result is [0.948616], train loss is 0.19059038162231445, c accuracy is 0.0
At round 185, test loss is: 0.1785, metrics result is [0.94823045], train loss is 0.1904027760028839, c accuracy is 0.0
At round 186, test loss is: 0.1785, metrics result is [0.94813704], train loss is 0.19012528657913208, c accuracy is 0.0
At round 187, test loss is: 0.1780, metrics result is [0.9481367], train loss is 0.18983794748783112, c accuracy is 0.0
At round 188, test loss is: 0.1778, metrics result is [0.9482304], train loss is 0.1895166039466858, c accuracy is 0.0
At round 189, test loss is: 0.1774, metrics result is [0.948546], train loss is 0.18910154700279236, c accuracy is 0.0
At round 190, test loss is: 0.1770, metrics result is [0.94882894], train loss is 0.18884584307670593, c accuracy is 0.0
At round 191, test loss is: 0.1769, metrics result is [0.94943374], train loss is 0.18874186277389526, c accuracy is 0.0
At round 192, test loss is: 0.1764, metrics result is [0.94891924], train loss is 0.1883474886417389, c accuracy is 0.0
At round 193, test loss is: 0.1765, metrics result is [0.94896096], train loss is 0.18801473081111908, c accuracy is 0.0
At round 194, test loss is: 0.1761, metrics result is [0.9492462], train loss is 0.18768882751464844, c accuracy is 0.0
At round 195, test loss is: 0.1756, metrics result is [0.9497259], train loss is 0.18739810585975647, c accuracy is 0.0
At round 196, test loss is: 0.1754, metrics result is [0.94934267], train loss is 0.18715958297252655, c accuracy is 0.0
At round 197, test loss is: 0.1751, metrics result is [0.9496529], train loss is 0.18690012395381927, c accuracy is 0.0
At round 198, test loss is: 0.1749, metrics result is [0.9495847], train loss is 0.1866130381822586, c accuracy is 0.0
At round 199, test loss is: 0.1747, metrics result is [0.94916886], train loss is 0.18636083602905273, c accuracy is 0.0
