At round 1, test_loss is 2.3339, accuracy is 0.142876, max_norm is 0.1809, mean_norm is 0.0352
At round 69, test_loss is 1.0722, accuracy is 0.793109, max_norm is 0.1211, mean_norm is 0.0165
At round 70, test_loss is 1.0630, accuracy is 0.793719, max_norm is 0.1201, mean_norm is 0.0163
At round 71, test_loss is 1.0540, accuracy is 0.795044, max_norm is 0.1195, mean_norm is 0.0161
At round 72, test_loss is 1.0451, accuracy is 0.796873, max_norm is 0.1199, mean_norm is 0.0160
At round 73, test_loss is 1.0364, accuracy is 0.797899, max_norm is 0.1179, mean_norm is 0.0158
At round 74, test_loss is 1.0279, accuracy is 0.799296, max_norm is 0.1185, mean_norm is 0.0157
At round 75, test_loss is 1.0195, accuracy is 0.799917, max_norm is 0.1171, mean_norm is 0.0155
At round 76, test_loss is 1.0113, accuracy is 0.801344, max_norm is 0.1166, mean_norm is 0.0154
At round 77, test_loss is 1.0033, accuracy is 0.803083, max_norm is 0.1146, mean_norm is 0.0152
At round 78, test_loss is 0.9954, accuracy is 0.804420, max_norm is 0.1155, mean_norm is 0.0151
At round 79, test_loss is 0.8963, accuracy is 0.849156, max_norm is 0.1137, mean_norm is 0.0150
At round 80, test_loss is 0.8255, accuracy is 0.869471, max_norm is 0.0754, mean_norm is 0.0462
At round 81, test_loss is 0.7723, accuracy is 0.878760, max_norm is 0.0684, mean_norm is 0.0401
At round 82, test_loss is 0.7307, accuracy is 0.884317, max_norm is 0.0634, mean_norm is 0.0355
At round 83, test_loss is 0.6969, accuracy is 0.888948, max_norm is 0.0597, mean_norm is 0.0319
At round 84, test_loss is 0.6689, accuracy is 0.891850, max_norm is 0.0564, mean_norm is 0.0291
At round 85, test_loss is 0.6449, accuracy is 0.894574, max_norm is 0.0536, mean_norm is 0.0267
At round 86, test_loss is 0.6242, accuracy is 0.896645, max_norm is 0.0520, mean_norm is 0.0248
At round 87, test_loss is 0.6060, accuracy is 0.898180, max_norm is 0.0505, mean_norm is 0.0232
At round 88, test_loss is 0.5898, accuracy is 0.899267, max_norm is 0.0487, mean_norm is 0.0218
At round 89, test_loss is 0.5752, accuracy is 0.901184, max_norm is 0.0477, mean_norm is 0.0206
At round 90, test_loss is 0.5619, accuracy is 0.902301, max_norm is 0.0471, mean_norm is 0.0196
At round 91, test_loss is 0.5498, accuracy is 0.903329, max_norm is 0.0464, mean_norm is 0.0187
At round 92, test_loss is 0.5387, accuracy is 0.904032, max_norm is 0.0457, mean_norm is 0.0179
At round 93, test_loss is 0.5284, accuracy is 0.904425, max_norm is 0.0449, mean_norm is 0.0171
At round 94, test_loss is 0.5188, accuracy is 0.905024, max_norm is 0.0449, mean_norm is 0.0165
At round 95, test_loss is 0.5098, accuracy is 0.905854, max_norm is 0.0438, mean_norm is 0.0159
At round 96, test_loss is 0.5014, accuracy is 0.906355, max_norm is 0.0434, mean_norm is 0.0154
At round 97, test_loss is 0.4935, accuracy is 0.906850, max_norm is 0.0435, mean_norm is 0.0149
At round 98, test_loss is 0.4860, accuracy is 0.907553, max_norm is 0.0427, mean_norm is 0.0144
At round 99, test_loss is 0.4789, accuracy is 0.908269, max_norm is 0.0423, mean_norm is 0.0140
At round 100, test_loss is 0.4722, accuracy is 0.909074, max_norm is 0.0420, mean_norm is 0.0136
At round 101, test_loss is 0.4658, accuracy is 0.909865, max_norm is 0.0420, mean_norm is 0.0132
At round 102, test_loss is 0.4598, accuracy is 0.910766, max_norm is 0.0413, mean_norm is 0.0129
At round 103, test_loss is 0.4540, accuracy is 0.911071, max_norm is 0.0410, mean_norm is 0.0125
At round 104, test_loss is 0.4484, accuracy is 0.911773, max_norm is 0.0402, mean_norm is 0.0122
At round 105, test_loss is 0.4431, accuracy is 0.912394, max_norm is 0.0402, mean_norm is 0.0120
At round 106, test_loss is 0.4380, accuracy is 0.912797, max_norm is 0.0397, mean_norm is 0.0117
At round 107, test_loss is 0.4331, accuracy is 0.913375, max_norm is 0.0398, mean_norm is 0.0114
At round 108, test_loss is 0.4284, accuracy is 0.914162, max_norm is 0.0398, mean_norm is 0.0112
At round 109, test_loss is 0.4238, accuracy is 0.914761, max_norm is 0.0391, mean_norm is 0.0110
At round 110, test_loss is 0.4195, accuracy is 0.915359, max_norm is 0.0389, mean_norm is 0.0107
At round 111, test_loss is 0.4153, accuracy is 0.915769, max_norm is 0.0394, mean_norm is 0.0105
At round 112, test_loss is 0.4112, accuracy is 0.916450, max_norm is 0.0384, mean_norm is 0.0103
At round 113, test_loss is 0.4072, accuracy is 0.916651, max_norm is 0.0391, mean_norm is 0.0101
At round 114, test_loss is 0.4034, accuracy is 0.917452, max_norm is 0.0386, mean_norm is 0.0100
At round 115, test_loss is 0.3997, accuracy is 0.917350, max_norm is 0.0384, mean_norm is 0.0098
At round 116, test_loss is 0.3962, accuracy is 0.918267, max_norm is 0.0379, mean_norm is 0.0096
At round 117, test_loss is 0.3927, accuracy is 0.918679, max_norm is 0.0377, mean_norm is 0.0095
At round 118, test_loss is 0.3893, accuracy is 0.919088, max_norm is 0.0375, mean_norm is 0.0093
At round 119, test_loss is 0.3861, accuracy is 0.919295, max_norm is 0.0374, mean_norm is 0.0092
At round 120, test_loss is 0.3829, accuracy is 0.919402, max_norm is 0.0370, mean_norm is 0.0090
At round 121, test_loss is 0.3798, accuracy is 0.919608, max_norm is 0.0368, mean_norm is 0.0089
At round 122, test_loss is 0.3768, accuracy is 0.919702, max_norm is 0.0371, mean_norm is 0.0087
At round 123, test_loss is 0.3739, accuracy is 0.920111, max_norm is 0.0367, mean_norm is 0.0086
At round 124, test_loss is 0.3711, accuracy is 0.920205, max_norm is 0.0368, mean_norm is 0.0085
At round 125, test_loss is 0.3684, accuracy is 0.920406, max_norm is 0.0358, mean_norm is 0.0084
At round 126, test_loss is 0.3657, accuracy is 0.920808, max_norm is 0.0379, mean_norm is 0.0082
At round 127, test_loss is 0.3631, accuracy is 0.921125, max_norm is 0.0361, mean_norm is 0.0081
At round 128, test_loss is 0.3605, accuracy is 0.921423, max_norm is 0.0361, mean_norm is 0.0080
At round 129, test_loss is 0.3580, accuracy is 0.922034, max_norm is 0.0360, mean_norm is 0.0079
At round 130, test_loss is 0.3556, accuracy is 0.922244, max_norm is 0.0362, mean_norm is 0.0078
At round 131, test_loss is 0.3532, accuracy is 0.922346, max_norm is 0.0356, mean_norm is 0.0077
At round 132, test_loss is 0.3509, accuracy is 0.922139, max_norm is 0.0362, mean_norm is 0.0076
At round 133, test_loss is 0.3486, accuracy is 0.922339, max_norm is 0.0359, mean_norm is 0.0075
At round 134, test_loss is 0.3464, accuracy is 0.922738, max_norm is 0.0356, mean_norm is 0.0074
At round 135, test_loss is 0.3443, accuracy is 0.923043, max_norm is 0.0362, mean_norm is 0.0074
At round 136, test_loss is 0.3422, accuracy is 0.923750, max_norm is 0.0352, mean_norm is 0.0073
At round 137, test_loss is 0.3401, accuracy is 0.923850, max_norm is 0.0356, mean_norm is 0.0072
At round 138, test_loss is 0.3381, accuracy is 0.924655, max_norm is 0.0352, mean_norm is 0.0071
At round 139, test_loss is 0.3361, accuracy is 0.925051, max_norm is 0.0350, mean_norm is 0.0070
At round 140, test_loss is 0.3342, accuracy is 0.925548, max_norm is 0.0357, mean_norm is 0.0069
At round 141, test_loss is 0.3322, accuracy is 0.925958, max_norm is 0.0349, mean_norm is 0.0069
At round 142, test_loss is 0.3304, accuracy is 0.926271, max_norm is 0.0353, mean_norm is 0.0068
At round 143, test_loss is 0.3286, accuracy is 0.926982, max_norm is 0.0360, mean_norm is 0.0067
At round 144, test_loss is 0.3268, accuracy is 0.927499, max_norm is 0.0347, mean_norm is 0.0066
At round 145, test_loss is 0.3250, accuracy is 0.927604, max_norm is 0.0348, mean_norm is 0.0066
At round 146, test_loss is 0.3233, accuracy is 0.927698, max_norm is 0.0347, mean_norm is 0.0065
At round 147, test_loss is 0.3216, accuracy is 0.927801, max_norm is 0.0341, mean_norm is 0.0064
At round 148, test_loss is 0.3200, accuracy is 0.928105, max_norm is 0.0344, mean_norm is 0.0064
At round 149, test_loss is 0.3184, accuracy is 0.928208, max_norm is 0.0339, mean_norm is 0.0063
At round 150, test_loss is 0.3168, accuracy is 0.928413, max_norm is 0.0347, mean_norm is 0.0063
At round 151, test_loss is 0.3152, accuracy is 0.928615, max_norm is 0.0341, mean_norm is 0.0062
At round 152, test_loss is 0.3137, accuracy is 0.928721, max_norm is 0.0337, mean_norm is 0.0061
At round 153, test_loss is 0.3122, accuracy is 0.928826, max_norm is 0.0339, mean_norm is 0.0061
At round 154, test_loss is 0.3107, accuracy is 0.928828, max_norm is 0.0340, mean_norm is 0.0060
At round 155, test_loss is 0.3093, accuracy is 0.929124, max_norm is 0.0339, mean_norm is 0.0060
At round 156, test_loss is 0.3078, accuracy is 0.929220, max_norm is 0.0334, mean_norm is 0.0059
At round 157, test_loss is 0.3065, accuracy is 0.929220, max_norm is 0.0335, mean_norm is 0.0059
At round 158, test_loss is 0.3051, accuracy is 0.929623, max_norm is 0.0334, mean_norm is 0.0058
At round 159, test_loss is 0.3037, accuracy is 0.929629, max_norm is 0.0335, mean_norm is 0.0057
At round 160, test_loss is 0.3024, accuracy is 0.929629, max_norm is 0.0337, mean_norm is 0.0057
At round 161, test_loss is 0.3011, accuracy is 0.930231, max_norm is 0.0340, mean_norm is 0.0056
At round 162, test_loss is 0.2998, accuracy is 0.930537, max_norm is 0.0327, mean_norm is 0.0056
At round 163, test_loss is 0.2985, accuracy is 0.930537, max_norm is 0.0328, mean_norm is 0.0056
At round 164, test_loss is 0.2973, accuracy is 0.930537, max_norm is 0.0332, mean_norm is 0.0055
At round 165, test_loss is 0.2961, accuracy is 0.930536, max_norm is 0.0328, mean_norm is 0.0055
At round 166, test_loss is 0.2948, accuracy is 0.930625, max_norm is 0.0329, mean_norm is 0.0054
At round 167, test_loss is 0.2937, accuracy is 0.930826, max_norm is 0.0324, mean_norm is 0.0054
At round 168, test_loss is 0.2925, accuracy is 0.930726, max_norm is 0.0330, mean_norm is 0.0053
At round 169, test_loss is 0.2914, accuracy is 0.930726, max_norm is 0.0329, mean_norm is 0.0053
At round 170, test_loss is 0.2902, accuracy is 0.931132, max_norm is 0.0337, mean_norm is 0.0053
At round 171, test_loss is 0.2891, accuracy is 0.931132, max_norm is 0.0325, mean_norm is 0.0052
At round 172, test_loss is 0.2880, accuracy is 0.931335, max_norm is 0.0330, mean_norm is 0.0052
At round 173, test_loss is 0.2869, accuracy is 0.931436, max_norm is 0.0324, mean_norm is 0.0051
At round 174, test_loss is 0.2858, accuracy is 0.931834, max_norm is 0.0325, mean_norm is 0.0051
At round 175, test_loss is 0.2848, accuracy is 0.931933, max_norm is 0.0330, mean_norm is 0.0051
At round 176, test_loss is 0.2837, accuracy is 0.932240, max_norm is 0.0328, mean_norm is 0.0050
At round 177, test_loss is 0.2827, accuracy is 0.932343, max_norm is 0.0328, mean_norm is 0.0050
At round 178, test_loss is 0.2817, accuracy is 0.932443, max_norm is 0.0337, mean_norm is 0.0049
At round 179, test_loss is 0.2807, accuracy is 0.932753, max_norm is 0.0331, mean_norm is 0.0049
At round 180, test_loss is 0.2797, accuracy is 0.932857, max_norm is 0.0320, mean_norm is 0.0049
At round 181, test_loss is 0.2788, accuracy is 0.932857, max_norm is 0.0333, mean_norm is 0.0048
At round 182, test_loss is 0.2778, accuracy is 0.932757, max_norm is 0.0328, mean_norm is 0.0048
At round 183, test_loss is 0.2769, accuracy is 0.932852, max_norm is 0.0327, mean_norm is 0.0048
At round 184, test_loss is 0.2760, accuracy is 0.933361, max_norm is 0.0320, mean_norm is 0.0047
At round 185, test_loss is 0.2750, accuracy is 0.933257, max_norm is 0.0318, mean_norm is 0.0047
At round 186, test_loss is 0.2742, accuracy is 0.933355, max_norm is 0.0325, mean_norm is 0.0047
At round 187, test_loss is 0.2733, accuracy is 0.933556, max_norm is 0.0316, mean_norm is 0.0046
At round 188, test_loss is 0.2724, accuracy is 0.933556, max_norm is 0.0322, mean_norm is 0.0046
At round 189, test_loss is 0.2715, accuracy is 0.933759, max_norm is 0.0318, mean_norm is 0.0046
At round 190, test_loss is 0.2707, accuracy is 0.933965, max_norm is 0.0323, mean_norm is 0.0046
At round 191, test_loss is 0.2698, accuracy is 0.934064, max_norm is 0.0322, mean_norm is 0.0045
At round 192, test_loss is 0.2690, accuracy is 0.934162, max_norm is 0.0309, mean_norm is 0.0045
At round 193, test_loss is 0.2682, accuracy is 0.934368, max_norm is 0.0315, mean_norm is 0.0045
At round 194, test_loss is 0.2673, accuracy is 0.934567, max_norm is 0.0320, mean_norm is 0.0044
At round 195, test_loss is 0.2665, accuracy is 0.934771, max_norm is 0.0314, mean_norm is 0.0044
At round 196, test_loss is 0.2657, accuracy is 0.934876, max_norm is 0.0318, mean_norm is 0.0044
At round 197, test_loss is 0.2650, accuracy is 0.934976, max_norm is 0.0310, mean_norm is 0.0043
At round 198, test_loss is 0.2642, accuracy is 0.935079, max_norm is 0.0320, mean_norm is 0.0043
At round 199, test_loss is 0.2634, accuracy is 0.935174, max_norm is 0.0315, mean_norm is 0.0043
At round 200, test_loss is 0.2627, accuracy is 0.935175, max_norm is 0.0310, mean_norm is 0.0043
