At round 0, test loss is: 2.2029, metrics result is [0.19996975], train loss is 2.2063629627227783, c accuracy is 0.52
At round 29, test loss is: 0.6562, metrics result is [0.8547249], train loss is 0.6737440228462219, c accuracy is 0.41
At round 30, test loss is: 0.6440, metrics result is [0.8566271], train loss is 0.6614531874656677, c accuracy is 0.41
At round 31, test loss is: 0.6307, metrics result is [0.8587292], train loss is 0.6483948230743408, c accuracy is 0.41
At round 32, test loss is: 0.6191, metrics result is [0.8604779], train loss is 0.6367596387863159, c accuracy is 0.41
At round 33, test loss is: 0.6083, metrics result is [0.86253893], train loss is 0.6256994605064392, c accuracy is 0.41
At round 34, test loss is: 0.5980, metrics result is [0.8646315], train loss is 0.615313708782196, c accuracy is 0.41
At round 35, test loss is: 0.5878, metrics result is [0.8653951], train loss is 0.6052837371826172, c accuracy is 0.41
At round 36, test loss is: 0.5781, metrics result is [0.86731565], train loss is 0.5957762002944946, c accuracy is 0.42
At round 37, test loss is: 0.5690, metrics result is [0.86863345], train loss is 0.5864368677139282, c accuracy is 0.42
At round 38, test loss is: 0.5606, metrics result is [0.86900675], train loss is 0.5778305530548096, c accuracy is 0.42
At round 39, test loss is: 0.5521, metrics result is [0.8706384], train loss is 0.5694270133972168, c accuracy is 0.42
At round 40, test loss is: 0.5430, metrics result is [0.8720308], train loss is 0.5610646605491638, c accuracy is 0.42
At round 41, test loss is: 0.5378, metrics result is [0.87404084], train loss is 0.5557832717895508, c accuracy is 0.43
At round 42, test loss is: 0.5332, metrics result is [0.8737913], train loss is 0.551132082939148, c accuracy is 0.43
At round 43, test loss is: 0.5292, metrics result is [0.87412745], train loss is 0.5469701886177063, c accuracy is 0.43
At round 44, test loss is: 0.5249, metrics result is [0.87515783], train loss is 0.5427143573760986, c accuracy is 0.43
At round 45, test loss is: 0.5206, metrics result is [0.8765555], train loss is 0.5384379625320435, c accuracy is 0.43
At round 46, test loss is: 0.5165, metrics result is [0.8768375], train loss is 0.534376323223114, c accuracy is 0.44
At round 47, test loss is: 0.5127, metrics result is [0.87802833], train loss is 0.5304705500602722, c accuracy is 0.44
At round 48, test loss is: 0.5087, metrics result is [0.8793413], train loss is 0.5263973474502563, c accuracy is 0.44
At round 49, test loss is: 0.5049, metrics result is [0.8797705], train loss is 0.5226295590400696, c accuracy is 0.44
At round 50, test loss is: 0.5013, metrics result is [0.8806102], train loss is 0.518907904624939, c accuracy is 0.44
At round 51, test loss is: 0.4974, metrics result is [0.8817438], train loss is 0.5151186585426331, c accuracy is 0.44
At round 52, test loss is: 0.4940, metrics result is [0.88245314], train loss is 0.5115206241607666, c accuracy is 0.45
At round 53, test loss is: 0.4908, metrics result is [0.8826648], train loss is 0.508150041103363, c accuracy is 0.46
At round 54, test loss is: 0.4871, metrics result is [0.8831759], train loss is 0.5046741366386414, c accuracy is 0.46
At round 55, test loss is: 0.4839, metrics result is [0.884748], train loss is 0.5012551546096802, c accuracy is 0.46
At round 56, test loss is: 0.4805, metrics result is [0.8848022], train loss is 0.4980275332927704, c accuracy is 0.46
At round 57, test loss is: 0.4772, metrics result is [0.88521975], train loss is 0.4947364032268524, c accuracy is 0.46
At round 58, test loss is: 0.4739, metrics result is [0.88605505], train loss is 0.4914235770702362, c accuracy is 0.47
At round 59, test loss is: 0.4708, metrics result is [0.8858319], train loss is 0.4882565438747406, c accuracy is 0.47
At round 60, test loss is: 0.4677, metrics result is [0.88618875], train loss is 0.4851910471916199, c accuracy is 0.47
At round 61, test loss is: 0.4648, metrics result is [0.88760185], train loss is 0.4822235405445099, c accuracy is 0.47
At round 62, test loss is: 0.4618, metrics result is [0.8885596], train loss is 0.4793102741241455, c accuracy is 0.47
At round 63, test loss is: 0.4592, metrics result is [0.8880507], train loss is 0.47641754150390625, c accuracy is 0.47
At round 64, test loss is: 0.4564, metrics result is [0.8887403], train loss is 0.4734957218170166, c accuracy is 0.48
At round 65, test loss is: 0.4537, metrics result is [0.8897623], train loss is 0.47066956758499146, c accuracy is 0.48
At round 66, test loss is: 0.4513, metrics result is [0.8898645], train loss is 0.4679637849330902, c accuracy is 0.48
At round 67, test loss is: 0.4487, metrics result is [0.8908603], train loss is 0.46516504883766174, c accuracy is 0.48
At round 68, test loss is: 0.4457, metrics result is [0.8915667], train loss is 0.4623120427131653, c accuracy is 0.48
At round 69, test loss is: 0.4431, metrics result is [0.8922726], train loss is 0.45967036485671997, c accuracy is 0.48
At round 70, test loss is: 0.4405, metrics result is [0.8926064], train loss is 0.45693057775497437, c accuracy is 0.48
At round 71, test loss is: 0.4377, metrics result is [0.89393294], train loss is 0.454303503036499, c accuracy is 0.48
At round 72, test loss is: 0.4354, metrics result is [0.8940334], train loss is 0.45184680819511414, c accuracy is 0.48
At round 73, test loss is: 0.4328, metrics result is [0.8937686], train loss is 0.44930583238601685, c accuracy is 0.48
At round 74, test loss is: 0.4303, metrics result is [0.8942328], train loss is 0.44680526852607727, c accuracy is 0.48
At round 75, test loss is: 0.4278, metrics result is [0.895077], train loss is 0.44432681798934937, c accuracy is 0.48
At round 76, test loss is: 0.4255, metrics result is [0.8951947], train loss is 0.4419092833995819, c accuracy is 0.48
At round 77, test loss is: 0.4233, metrics result is [0.89557946], train loss is 0.43958255648612976, c accuracy is 0.48
At round 78, test loss is: 0.4211, metrics result is [0.89615846], train loss is 0.4373033940792084, c accuracy is 0.48
At round 79, test loss is: 0.4189, metrics result is [0.8967234], train loss is 0.43495476245880127, c accuracy is 0.49
At round 80, test loss is: 0.4167, metrics result is [0.8969725], train loss is 0.4327614903450012, c accuracy is 0.49
At round 81, test loss is: 0.4142, metrics result is [0.8969405], train loss is 0.4304684102535248, c accuracy is 0.49
At round 82, test loss is: 0.4123, metrics result is [0.89758927], train loss is 0.42818713188171387, c accuracy is 0.49
At round 83, test loss is: 0.4102, metrics result is [0.898207], train loss is 0.4259800314903259, c accuracy is 0.49
At round 84, test loss is: 0.4080, metrics result is [0.8985332], train loss is 0.42387741804122925, c accuracy is 0.49
At round 85, test loss is: 0.4060, metrics result is [0.89871484], train loss is 0.4218061566352844, c accuracy is 0.49
At round 86, test loss is: 0.4040, metrics result is [0.89884096], train loss is 0.4197309613227844, c accuracy is 0.49
At round 87, test loss is: 0.4021, metrics result is [0.89973646], train loss is 0.4176071286201477, c accuracy is 0.49
At round 88, test loss is: 0.4001, metrics result is [0.89984], train loss is 0.4154951870441437, c accuracy is 0.49
At round 89, test loss is: 0.3981, metrics result is [0.90021056], train loss is 0.4135648310184479, c accuracy is 0.49
At round 90, test loss is: 0.3963, metrics result is [0.900744], train loss is 0.41160404682159424, c accuracy is 0.49
At round 91, test loss is: 0.3946, metrics result is [0.9001686], train loss is 0.4097362756729126, c accuracy is 0.49
At round 92, test loss is: 0.3929, metrics result is [0.90076524], train loss is 0.40796229243278503, c accuracy is 0.49
At round 93, test loss is: 0.3911, metrics result is [0.9017463], train loss is 0.4060562252998352, c accuracy is 0.49
At round 94, test loss is: 0.3895, metrics result is [0.9016148], train loss is 0.4042508602142334, c accuracy is 0.49
At round 95, test loss is: 0.3878, metrics result is [0.90251213], train loss is 0.4024614691734314, c accuracy is 0.49
At round 96, test loss is: 0.3862, metrics result is [0.9023438], train loss is 0.40080344676971436, c accuracy is 0.49
At round 97, test loss is: 0.3844, metrics result is [0.9025622], train loss is 0.39901694655418396, c accuracy is 0.49
At round 98, test loss is: 0.3829, metrics result is [0.90295875], train loss is 0.3972737789154053, c accuracy is 0.48
At round 99, test loss is: 0.3814, metrics result is [0.90217215], train loss is 0.39568519592285156, c accuracy is 0.48
At round 100, test loss is: 0.3797, metrics result is [0.90348876], train loss is 0.39395636320114136, c accuracy is 0.48
At round 101, test loss is: 0.3783, metrics result is [0.9031269], train loss is 0.3924024701118469, c accuracy is 0.48
At round 102, test loss is: 0.3768, metrics result is [0.90420824], train loss is 0.3906159996986389, c accuracy is 0.47
At round 103, test loss is: 0.3751, metrics result is [0.9043266], train loss is 0.38906189799308777, c accuracy is 0.47
At round 104, test loss is: 0.3736, metrics result is [0.90427977], train loss is 0.3875449299812317, c accuracy is 0.47
At round 105, test loss is: 0.3722, metrics result is [0.90526474], train loss is 0.38595685362815857, c accuracy is 0.47
At round 106, test loss is: 0.3707, metrics result is [0.9055058], train loss is 0.384526789188385, c accuracy is 0.47
At round 107, test loss is: 0.3694, metrics result is [0.9054053], train loss is 0.3830333948135376, c accuracy is 0.47
At round 108, test loss is: 0.3680, metrics result is [0.9054334], train loss is 0.3814874589443207, c accuracy is 0.47
At round 109, test loss is: 0.3669, metrics result is [0.90572375], train loss is 0.380306214094162, c accuracy is 0.47
At round 110, test loss is: 0.3657, metrics result is [0.9058402], train loss is 0.3788924813270569, c accuracy is 0.47
At round 111, test loss is: 0.3642, metrics result is [0.9065977], train loss is 0.3774084448814392, c accuracy is 0.45
At round 112, test loss is: 0.3627, metrics result is [0.90576136], train loss is 0.37603798508644104, c accuracy is 0.44
At round 113, test loss is: 0.3622, metrics result is [0.9066242], train loss is 0.3750592768192291, c accuracy is 0.43
At round 114, test loss is: 0.3606, metrics result is [0.90633285], train loss is 0.37351739406585693, c accuracy is 0.43
At round 115, test loss is: 0.3592, metrics result is [0.90647906], train loss is 0.37219706177711487, c accuracy is 0.43
At round 116, test loss is: 0.3581, metrics result is [0.9071617], train loss is 0.3709440231323242, c accuracy is 0.43
At round 117, test loss is: 0.3572, metrics result is [0.9084828], train loss is 0.36987224221229553, c accuracy is 0.43
At round 118, test loss is: 0.3559, metrics result is [0.9091449], train loss is 0.36852240562438965, c accuracy is 0.43
At round 119, test loss is: 0.3550, metrics result is [0.9099742], train loss is 0.3674300014972687, c accuracy is 0.43
At round 120, test loss is: 0.3539, metrics result is [0.90981597], train loss is 0.3663448989391327, c accuracy is 0.42
At round 121, test loss is: 0.3525, metrics result is [0.91043615], train loss is 0.3651410937309265, c accuracy is 0.42
At round 122, test loss is: 0.3515, metrics result is [0.9102922], train loss is 0.36396944522857666, c accuracy is 0.42
At round 123, test loss is: 0.3503, metrics result is [0.9103919], train loss is 0.3627732992172241, c accuracy is 0.41
At round 124, test loss is: 0.3494, metrics result is [0.91104805], train loss is 0.3616297245025635, c accuracy is 0.4
At round 125, test loss is: 0.3483, metrics result is [0.91237783], train loss is 0.3607117831707001, c accuracy is 0.39
At round 126, test loss is: 0.3473, metrics result is [0.91187066], train loss is 0.35954535007476807, c accuracy is 0.39
At round 127, test loss is: 0.3465, metrics result is [0.91198343], train loss is 0.3585575819015503, c accuracy is 0.38
At round 128, test loss is: 0.3455, metrics result is [0.91261584], train loss is 0.3576661944389343, c accuracy is 0.37
At round 129, test loss is: 0.3447, metrics result is [0.9129426], train loss is 0.35669705271720886, c accuracy is 0.37
At round 130, test loss is: 0.3437, metrics result is [0.91313803], train loss is 0.3556254506111145, c accuracy is 0.36
At round 131, test loss is: 0.3428, metrics result is [0.9131175], train loss is 0.35473424196243286, c accuracy is 0.35
At round 132, test loss is: 0.3422, metrics result is [0.9131466], train loss is 0.3537232577800751, c accuracy is 0.32
At round 133, test loss is: 0.3414, metrics result is [0.9139142], train loss is 0.352789968252182, c accuracy is 0.28
At round 134, test loss is: 0.3406, metrics result is [0.913522], train loss is 0.35193461179733276, c accuracy is 0.28
At round 135, test loss is: 0.3399, metrics result is [0.9145445], train loss is 0.3510875403881073, c accuracy is 0.27
At round 136, test loss is: 0.3393, metrics result is [0.9139711], train loss is 0.350315123796463, c accuracy is 0.25
At round 137, test loss is: 0.3381, metrics result is [0.91487885], train loss is 0.3491121530532837, c accuracy is 0.23
At round 138, test loss is: 0.3375, metrics result is [0.91557264], train loss is 0.34825408458709717, c accuracy is 0.22
At round 139, test loss is: 0.3364, metrics result is [0.9152787], train loss is 0.3474114239215851, c accuracy is 0.21
At round 140, test loss is: 0.3358, metrics result is [0.91439086], train loss is 0.3466797173023224, c accuracy is 0.2
At round 141, test loss is: 0.3348, metrics result is [0.9151701], train loss is 0.3457047641277313, c accuracy is 0.18
At round 142, test loss is: 0.3341, metrics result is [0.9149425], train loss is 0.3448641300201416, c accuracy is 0.18
At round 143, test loss is: 0.3331, metrics result is [0.9161134], train loss is 0.3440168797969818, c accuracy is 0.17
At round 144, test loss is: 0.3324, metrics result is [0.9154423], train loss is 0.3432123064994812, c accuracy is 0.15
At round 145, test loss is: 0.3318, metrics result is [0.9148576], train loss is 0.3424338400363922, c accuracy is 0.14
At round 146, test loss is: 0.3311, metrics result is [0.91505384], train loss is 0.3416915833950043, c accuracy is 0.11
At round 147, test loss is: 0.3302, metrics result is [0.9144661], train loss is 0.3409939110279083, c accuracy is 0.11
At round 148, test loss is: 0.3293, metrics result is [0.91496], train loss is 0.34014618396759033, c accuracy is 0.1
At round 149, test loss is: 0.3288, metrics result is [0.9153585], train loss is 0.33933690190315247, c accuracy is 0.09
At round 150, test loss is: 0.3282, metrics result is [0.916287], train loss is 0.3387126922607422, c accuracy is 0.08
At round 151, test loss is: 0.3277, metrics result is [0.91503644], train loss is 0.33779415488243103, c accuracy is 0.08
At round 152, test loss is: 0.3271, metrics result is [0.91430235], train loss is 0.33723050355911255, c accuracy is 0.08
At round 153, test loss is: 0.3265, metrics result is [0.915266], train loss is 0.33648353815078735, c accuracy is 0.08
At round 154, test loss is: 0.3257, metrics result is [0.9154036], train loss is 0.33569467067718506, c accuracy is 0.08
At round 155, test loss is: 0.3250, metrics result is [0.9156323], train loss is 0.3348926305770874, c accuracy is 0.06
At round 156, test loss is: 0.3243, metrics result is [0.9161055], train loss is 0.3340384364128113, c accuracy is 0.05
At round 157, test loss is: 0.3237, metrics result is [0.9160267], train loss is 0.3332834541797638, c accuracy is 0.04
At round 158, test loss is: 0.3230, metrics result is [0.9153097], train loss is 0.3328358829021454, c accuracy is 0.04
At round 159, test loss is: 0.3224, metrics result is [0.9163655], train loss is 0.3320810794830322, c accuracy is 0.04
At round 160, test loss is: 0.3219, metrics result is [0.9158052], train loss is 0.33138546347618103, c accuracy is 0.04
At round 161, test loss is: 0.3214, metrics result is [0.915957], train loss is 0.33066698908805847, c accuracy is 0.04
At round 162, test loss is: 0.3211, metrics result is [0.9158593], train loss is 0.3301815092563629, c accuracy is 0.02
At round 163, test loss is: 0.3203, metrics result is [0.9158146], train loss is 0.3293974995613098, c accuracy is 0.02
At round 164, test loss is: 0.3197, metrics result is [0.9165638], train loss is 0.32860809564590454, c accuracy is 0.02
At round 165, test loss is: 0.3189, metrics result is [0.9172251], train loss is 0.32786884903907776, c accuracy is 0.01
At round 166, test loss is: 0.3185, metrics result is [0.9162059], train loss is 0.3275047242641449, c accuracy is 0.01
At round 167, test loss is: 0.3177, metrics result is [0.9166728], train loss is 0.32683703303337097, c accuracy is 0.01
At round 168, test loss is: 0.3171, metrics result is [0.91633624], train loss is 0.3260527551174164, c accuracy is 0.01
At round 169, test loss is: 0.3165, metrics result is [0.9169342], train loss is 0.3254634141921997, c accuracy is 0.01
At round 170, test loss is: 0.3161, metrics result is [0.91745967], train loss is 0.32488104701042175, c accuracy is 0.01
At round 171, test loss is: 0.3154, metrics result is [0.9177391], train loss is 0.3240422308444977, c accuracy is 0.01
At round 172, test loss is: 0.3147, metrics result is [0.9176951], train loss is 0.3234715759754181, c accuracy is 0.01
At round 173, test loss is: 0.3140, metrics result is [0.91755986], train loss is 0.3227117955684662, c accuracy is 0.01
At round 174, test loss is: 0.3134, metrics result is [0.91861], train loss is 0.3222379684448242, c accuracy is 0.01
At round 175, test loss is: 0.3129, metrics result is [0.9186308], train loss is 0.32164639234542847, c accuracy is 0.01
At round 176, test loss is: 0.3126, metrics result is [0.9190575], train loss is 0.32130497694015503, c accuracy is 0.01
At round 177, test loss is: 0.3117, metrics result is [0.91797996], train loss is 0.32033398747444153, c accuracy is 0.01
At round 178, test loss is: 0.3113, metrics result is [0.9180474], train loss is 0.3197069466114044, c accuracy is 0.01
At round 179, test loss is: 0.3109, metrics result is [0.91767126], train loss is 0.3192550241947174, c accuracy is 0.0
At round 180, test loss is: 0.3103, metrics result is [0.9179423], train loss is 0.3185533285140991, c accuracy is 0.0
At round 181, test loss is: 0.3098, metrics result is [0.9181733], train loss is 0.31791016459465027, c accuracy is 0.0
At round 182, test loss is: 0.3092, metrics result is [0.9193357], train loss is 0.3173874616622925, c accuracy is 0.0
At round 183, test loss is: 0.3085, metrics result is [0.91932684], train loss is 0.31688326597213745, c accuracy is 0.0
At round 184, test loss is: 0.3079, metrics result is [0.9185215], train loss is 0.31614720821380615, c accuracy is 0.0
At round 185, test loss is: 0.3073, metrics result is [0.91907805], train loss is 0.3156851828098297, c accuracy is 0.0
At round 186, test loss is: 0.3068, metrics result is [0.91941416], train loss is 0.31507420539855957, c accuracy is 0.0
At round 187, test loss is: 0.3063, metrics result is [0.9186011], train loss is 0.314515084028244, c accuracy is 0.0
At round 188, test loss is: 0.3060, metrics result is [0.9191224], train loss is 0.313892662525177, c accuracy is 0.0
At round 189, test loss is: 0.3053, metrics result is [0.9194554], train loss is 0.31338784098625183, c accuracy is 0.0
At round 190, test loss is: 0.3048, metrics result is [0.9194474], train loss is 0.31279635429382324, c accuracy is 0.0
At round 191, test loss is: 0.3044, metrics result is [0.9194546], train loss is 0.3122358024120331, c accuracy is 0.0
At round 192, test loss is: 0.3041, metrics result is [0.92044795], train loss is 0.3116646111011505, c accuracy is 0.0
At round 193, test loss is: 0.3036, metrics result is [0.92053705], train loss is 0.3111383318901062, c accuracy is 0.0
At round 194, test loss is: 0.3032, metrics result is [0.92033887], train loss is 0.31067198514938354, c accuracy is 0.0
At round 195, test loss is: 0.3026, metrics result is [0.92034686], train loss is 0.3100983798503876, c accuracy is 0.0
At round 196, test loss is: 0.3021, metrics result is [0.9212482], train loss is 0.3095417618751526, c accuracy is 0.0
At round 197, test loss is: 0.3017, metrics result is [0.9207175], train loss is 0.30906227231025696, c accuracy is 0.0
At round 198, test loss is: 0.3011, metrics result is [0.92073095], train loss is 0.3085302412509918, c accuracy is 0.0
At round 199, test loss is: 0.3008, metrics result is [0.9209018], train loss is 0.3080745041370392, c accuracy is 0.0
