At round 1, test_loss is 2.3257, accuracy is 0.146030, max_norm is 0.1069, mean_norm is 0.0412
At round 44, test_loss is 1.2699, accuracy is 0.742354, max_norm is 0.0912, mean_norm is 0.0228
At round 45, test_loss is 1.2551, accuracy is 0.745991, max_norm is 0.0914, mean_norm is 0.0225
At round 46, test_loss is 1.2405, accuracy is 0.748798, max_norm is 0.0913, mean_norm is 0.0223
At round 47, test_loss is 1.2263, accuracy is 0.750981, max_norm is 0.0912, mean_norm is 0.0220
At round 48, test_loss is 1.2124, accuracy is 0.753910, max_norm is 0.0903, mean_norm is 0.0218
At round 49, test_loss is 1.1987, accuracy is 0.757438, max_norm is 0.0919, mean_norm is 0.0216
At round 50, test_loss is 1.1854, accuracy is 0.760974, max_norm is 0.0923, mean_norm is 0.0214
At round 51, test_loss is 1.1723, accuracy is 0.763527, max_norm is 0.0939, mean_norm is 0.0211
At round 52, test_loss is 1.1595, accuracy is 0.766785, max_norm is 0.0890, mean_norm is 0.0209
At round 53, test_loss is 1.1470, accuracy is 0.769610, max_norm is 0.0879, mean_norm is 0.0206
At round 54, test_loss is 1.1348, accuracy is 0.772169, max_norm is 0.0890, mean_norm is 0.0204
At round 55, test_loss is 1.1228, accuracy is 0.773946, max_norm is 0.0924, mean_norm is 0.0202
At round 56, test_loss is 1.1111, accuracy is 0.775907, max_norm is 0.0914, mean_norm is 0.0200
At round 57, test_loss is 1.0997, accuracy is 0.778252, max_norm is 0.0895, mean_norm is 0.0198
At round 58, test_loss is 1.0885, accuracy is 0.780833, max_norm is 0.0852, mean_norm is 0.0195
At round 59, test_loss is 1.0775, accuracy is 0.783342, max_norm is 0.0870, mean_norm is 0.0194
At round 60, test_loss is 1.0668, accuracy is 0.784795, max_norm is 0.0894, mean_norm is 0.0191
At round 61, test_loss is 1.0563, accuracy is 0.786526, max_norm is 0.0877, mean_norm is 0.0190
At round 62, test_loss is 1.0461, accuracy is 0.788132, max_norm is 0.0887, mean_norm is 0.0187
At round 63, test_loss is 1.0360, accuracy is 0.789350, max_norm is 0.0867, mean_norm is 0.0186
At round 64, test_loss is 1.0261, accuracy is 0.790828, max_norm is 0.0863, mean_norm is 0.0183
At round 65, test_loss is 1.0165, accuracy is 0.792678, max_norm is 0.0847, mean_norm is 0.0181
At round 66, test_loss is 1.0071, accuracy is 0.794721, max_norm is 0.0857, mean_norm is 0.0179
At round 67, test_loss is 0.9979, accuracy is 0.796137, max_norm is 0.0848, mean_norm is 0.0177
At round 68, test_loss is 0.9889, accuracy is 0.797765, max_norm is 0.0892, mean_norm is 0.0175
At round 69, test_loss is 0.9801, accuracy is 0.799079, max_norm is 0.0843, mean_norm is 0.0173
At round 70, test_loss is 0.9714, accuracy is 0.799985, max_norm is 0.0877, mean_norm is 0.0172
At round 71, test_loss is 0.9630, accuracy is 0.801233, max_norm is 0.0847, mean_norm is 0.0170
At round 72, test_loss is 0.9547, accuracy is 0.802890, max_norm is 0.0842, mean_norm is 0.0168
At round 73, test_loss is 0.9466, accuracy is 0.804051, max_norm is 0.0849, mean_norm is 0.0166
At round 74, test_loss is 0.9387, accuracy is 0.805622, max_norm is 0.0888, mean_norm is 0.0164
At round 75, test_loss is 0.9309, accuracy is 0.807365, max_norm is 0.0858, mean_norm is 0.0163
At round 76, test_loss is 0.9233, accuracy is 0.808312, max_norm is 0.0843, mean_norm is 0.0160
At round 77, test_loss is 0.9158, accuracy is 0.809378, max_norm is 0.0802, mean_norm is 0.0159
At round 78, test_loss is 0.9085, accuracy is 0.810607, max_norm is 0.0844, mean_norm is 0.0158
At round 79, test_loss is 0.9013, accuracy is 0.811405, max_norm is 0.0865, mean_norm is 0.0156
At round 80, test_loss is 0.8943, accuracy is 0.813261, max_norm is 0.0820, mean_norm is 0.0155
At round 81, test_loss is 0.8874, accuracy is 0.814150, max_norm is 0.0835, mean_norm is 0.0153
At round 82, test_loss is 0.8806, accuracy is 0.814827, max_norm is 0.0810, mean_norm is 0.0151
At round 83, test_loss is 0.8740, accuracy is 0.815680, max_norm is 0.0809, mean_norm is 0.0150
At round 84, test_loss is 0.8083, accuracy is 0.844548, max_norm is 0.0862, mean_norm is 0.0149
At round 85, test_loss is 0.7641, accuracy is 0.852487, max_norm is 0.0578, mean_norm is 0.0399
At round 86, test_loss is 0.7326, accuracy is 0.857336, max_norm is 0.0529, mean_norm is 0.0334
At round 87, test_loss is 0.7091, accuracy is 0.860286, max_norm is 0.0505, mean_norm is 0.0289
At round 88, test_loss is 0.6910, accuracy is 0.859184, max_norm is 0.0440, mean_norm is 0.0253
At round 89, test_loss is 0.6764, accuracy is 0.859006, max_norm is 0.0458, mean_norm is 0.0227
At round 90, test_loss is 0.6644, accuracy is 0.857510, max_norm is 0.0439, mean_norm is 0.0206
At round 91, test_loss is 0.6542, accuracy is 0.856770, max_norm is 0.0437, mean_norm is 0.0188
At round 92, test_loss is 0.6456, accuracy is 0.856317, max_norm is 0.0499, mean_norm is 0.0172
At round 93, test_loss is 0.6378, accuracy is 0.855266, max_norm is 0.0374, mean_norm is 0.0161
At round 94, test_loss is 0.6309, accuracy is 0.854706, max_norm is 0.0355, mean_norm is 0.0155
At round 95, test_loss is 0.6246, accuracy is 0.854227, max_norm is 0.0347, mean_norm is 0.0147
At round 96, test_loss is 0.6189, accuracy is 0.853914, max_norm is 0.0408, mean_norm is 0.0140
At round 97, test_loss is 0.6136, accuracy is 0.854690, max_norm is 0.0346, mean_norm is 0.0133
At round 98, test_loss is 0.6086, accuracy is 0.854517, max_norm is 0.0358, mean_norm is 0.0127
At round 99, test_loss is 0.6039, accuracy is 0.854659, max_norm is 0.0338, mean_norm is 0.0125
At round 100, test_loss is 0.5995, accuracy is 0.855109, max_norm is 0.0383, mean_norm is 0.0120
At round 101, test_loss is 0.5953, accuracy is 0.854745, max_norm is 0.0468, mean_norm is 0.0117
At round 102, test_loss is 0.5912, accuracy is 0.854810, max_norm is 0.0343, mean_norm is 0.0115
At round 103, test_loss is 0.5874, accuracy is 0.854877, max_norm is 0.0369, mean_norm is 0.0112
At round 104, test_loss is 0.5837, accuracy is 0.854857, max_norm is 0.0484, mean_norm is 0.0108
At round 105, test_loss is 0.5801, accuracy is 0.854573, max_norm is 0.0346, mean_norm is 0.0108
At round 106, test_loss is 0.5765, accuracy is 0.855454, max_norm is 0.0330, mean_norm is 0.0106
At round 107, test_loss is 0.5732, accuracy is 0.856067, max_norm is 0.0343, mean_norm is 0.0104
At round 108, test_loss is 0.5699, accuracy is 0.856268, max_norm is 0.0350, mean_norm is 0.0102
At round 109, test_loss is 0.5667, accuracy is 0.856727, max_norm is 0.0332, mean_norm is 0.0100
At round 110, test_loss is 0.5635, accuracy is 0.858000, max_norm is 0.0375, mean_norm is 0.0100
At round 111, test_loss is 0.5605, accuracy is 0.858171, max_norm is 0.0329, mean_norm is 0.0098
At round 112, test_loss is 0.5575, accuracy is 0.858371, max_norm is 0.0350, mean_norm is 0.0097
At round 113, test_loss is 0.5546, accuracy is 0.858117, max_norm is 0.0332, mean_norm is 0.0097
At round 114, test_loss is 0.5518, accuracy is 0.858979, max_norm is 0.0370, mean_norm is 0.0095
At round 115, test_loss is 0.5489, accuracy is 0.859297, max_norm is 0.0543, mean_norm is 0.0095
At round 116, test_loss is 0.5462, accuracy is 0.859823, max_norm is 0.0324, mean_norm is 0.0092
At round 117, test_loss is 0.5435, accuracy is 0.859729, max_norm is 0.0345, mean_norm is 0.0092
At round 118, test_loss is 0.5409, accuracy is 0.859886, max_norm is 0.0355, mean_norm is 0.0090
At round 119, test_loss is 0.5383, accuracy is 0.860443, max_norm is 0.0585, mean_norm is 0.0090
At round 120, test_loss is 0.5358, accuracy is 0.860756, max_norm is 0.0419, mean_norm is 0.0088
At round 121, test_loss is 0.5333, accuracy is 0.860523, max_norm is 0.0467, mean_norm is 0.0088
At round 122, test_loss is 0.5308, accuracy is 0.860874, max_norm is 0.0336, mean_norm is 0.0087
At round 123, test_loss is 0.5284, accuracy is 0.861000, max_norm is 0.0362, mean_norm is 0.0086
At round 124, test_loss is 0.5260, accuracy is 0.861189, max_norm is 0.0447, mean_norm is 0.0087
At round 125, test_loss is 0.5237, accuracy is 0.861979, max_norm is 0.0345, mean_norm is 0.0086
At round 126, test_loss is 0.5214, accuracy is 0.862485, max_norm is 0.0336, mean_norm is 0.0084
At round 127, test_loss is 0.5191, accuracy is 0.862585, max_norm is 0.0348, mean_norm is 0.0083
At round 128, test_loss is 0.5169, accuracy is 0.862705, max_norm is 0.0335, mean_norm is 0.0082
At round 129, test_loss is 0.5148, accuracy is 0.862939, max_norm is 0.0362, mean_norm is 0.0081
At round 130, test_loss is 0.5126, accuracy is 0.863526, max_norm is 0.0362, mean_norm is 0.0081
At round 131, test_loss is 0.5105, accuracy is 0.863738, max_norm is 0.0354, mean_norm is 0.0081
At round 132, test_loss is 0.5084, accuracy is 0.863542, max_norm is 0.0331, mean_norm is 0.0080
At round 133, test_loss is 0.5064, accuracy is 0.863995, max_norm is 0.0367, mean_norm is 0.0078
At round 134, test_loss is 0.5044, accuracy is 0.864235, max_norm is 0.0322, mean_norm is 0.0078
At round 135, test_loss is 0.5025, accuracy is 0.864732, max_norm is 0.0351, mean_norm is 0.0078
At round 136, test_loss is 0.5005, accuracy is 0.865303, max_norm is 0.0320, mean_norm is 0.0077
At round 137, test_loss is 0.4986, accuracy is 0.865799, max_norm is 0.0347, mean_norm is 0.0077
At round 138, test_loss is 0.4967, accuracy is 0.865989, max_norm is 0.0338, mean_norm is 0.0076
At round 139, test_loss is 0.4949, accuracy is 0.866367, max_norm is 0.0311, mean_norm is 0.0075
At round 140, test_loss is 0.4930, accuracy is 0.866378, max_norm is 0.0339, mean_norm is 0.0076
At round 141, test_loss is 0.4912, accuracy is 0.866989, max_norm is 0.0374, mean_norm is 0.0075
At round 142, test_loss is 0.4894, accuracy is 0.867384, max_norm is 0.0390, mean_norm is 0.0075
At round 143, test_loss is 0.4877, accuracy is 0.867373, max_norm is 0.0355, mean_norm is 0.0073
At round 144, test_loss is 0.4859, accuracy is 0.867782, max_norm is 0.0351, mean_norm is 0.0074
At round 145, test_loss is 0.4842, accuracy is 0.867890, max_norm is 0.0360, mean_norm is 0.0073
At round 146, test_loss is 0.4825, accuracy is 0.868463, max_norm is 0.0496, mean_norm is 0.0072
At round 147, test_loss is 0.4808, accuracy is 0.868914, max_norm is 0.0344, mean_norm is 0.0072
At round 148, test_loss is 0.4792, accuracy is 0.869267, max_norm is 0.0333, mean_norm is 0.0071
At round 149, test_loss is 0.4776, accuracy is 0.869972, max_norm is 0.0367, mean_norm is 0.0070
At round 150, test_loss is 0.4759, accuracy is 0.870272, max_norm is 0.0366, mean_norm is 0.0070
At round 151, test_loss is 0.4744, accuracy is 0.870708, max_norm is 0.0364, mean_norm is 0.0070
At round 152, test_loss is 0.4728, accuracy is 0.870594, max_norm is 0.0333, mean_norm is 0.0069
At round 153, test_loss is 0.4713, accuracy is 0.871395, max_norm is 0.0307, mean_norm is 0.0069
At round 154, test_loss is 0.4697, accuracy is 0.871812, max_norm is 0.0611, mean_norm is 0.0068
At round 155, test_loss is 0.4682, accuracy is 0.871899, max_norm is 0.0332, mean_norm is 0.0068
At round 156, test_loss is 0.4667, accuracy is 0.872102, max_norm is 0.0356, mean_norm is 0.0067
At round 157, test_loss is 0.4653, accuracy is 0.872209, max_norm is 0.0346, mean_norm is 0.0067
At round 158, test_loss is 0.4638, accuracy is 0.872397, max_norm is 0.0411, mean_norm is 0.0066
At round 159, test_loss is 0.4624, accuracy is 0.872709, max_norm is 0.0314, mean_norm is 0.0067
At round 160, test_loss is 0.4609, accuracy is 0.873392, max_norm is 0.0303, mean_norm is 0.0066
At round 161, test_loss is 0.4596, accuracy is 0.873704, max_norm is 0.0311, mean_norm is 0.0066
At round 162, test_loss is 0.4582, accuracy is 0.874115, max_norm is 0.0380, mean_norm is 0.0066
At round 163, test_loss is 0.4568, accuracy is 0.874010, max_norm is 0.0329, mean_norm is 0.0065
At round 164, test_loss is 0.4554, accuracy is 0.874295, max_norm is 0.0410, mean_norm is 0.0065
At round 165, test_loss is 0.4541, accuracy is 0.874496, max_norm is 0.0330, mean_norm is 0.0064
At round 166, test_loss is 0.4528, accuracy is 0.874695, max_norm is 0.0363, mean_norm is 0.0064
At round 167, test_loss is 0.4515, accuracy is 0.875009, max_norm is 0.0350, mean_norm is 0.0064
At round 168, test_loss is 0.4502, accuracy is 0.875555, max_norm is 0.0347, mean_norm is 0.0063
At round 169, test_loss is 0.4490, accuracy is 0.875781, max_norm is 0.0326, mean_norm is 0.0063
At round 170, test_loss is 0.4477, accuracy is 0.875818, max_norm is 0.0536, mean_norm is 0.0063
At round 171, test_loss is 0.4465, accuracy is 0.876219, max_norm is 0.0352, mean_norm is 0.0062
At round 172, test_loss is 0.4452, accuracy is 0.876428, max_norm is 0.0352, mean_norm is 0.0061
At round 173, test_loss is 0.4440, accuracy is 0.876545, max_norm is 0.0468, mean_norm is 0.0062
At round 174, test_loss is 0.4428, accuracy is 0.877120, max_norm is 0.0508, mean_norm is 0.0062
At round 175, test_loss is 0.4416, accuracy is 0.877754, max_norm is 0.0338, mean_norm is 0.0061
At round 176, test_loss is 0.4404, accuracy is 0.877882, max_norm is 0.0338, mean_norm is 0.0060
At round 177, test_loss is 0.4392, accuracy is 0.877990, max_norm is 0.0515, mean_norm is 0.0062
At round 178, test_loss is 0.4381, accuracy is 0.878097, max_norm is 0.0343, mean_norm is 0.0060
At round 179, test_loss is 0.4369, accuracy is 0.878622, max_norm is 0.0337, mean_norm is 0.0060
At round 180, test_loss is 0.4358, accuracy is 0.879062, max_norm is 0.0317, mean_norm is 0.0059
At round 181, test_loss is 0.4347, accuracy is 0.879074, max_norm is 0.0320, mean_norm is 0.0059
At round 182, test_loss is 0.4336, accuracy is 0.879167, max_norm is 0.0304, mean_norm is 0.0059
At round 183, test_loss is 0.4325, accuracy is 0.879167, max_norm is 0.0307, mean_norm is 0.0058
At round 184, test_loss is 0.4314, accuracy is 0.879271, max_norm is 0.0374, mean_norm is 0.0059
At round 185, test_loss is 0.4304, accuracy is 0.879271, max_norm is 0.0330, mean_norm is 0.0058
At round 186, test_loss is 0.4292, accuracy is 0.879470, max_norm is 0.0340, mean_norm is 0.0058
At round 187, test_loss is 0.4282, accuracy is 0.879540, max_norm is 0.0329, mean_norm is 0.0057
At round 188, test_loss is 0.4271, accuracy is 0.879643, max_norm is 0.0329, mean_norm is 0.0058
At round 189, test_loss is 0.4261, accuracy is 0.880356, max_norm is 0.0347, mean_norm is 0.0057
At round 190, test_loss is 0.4251, accuracy is 0.880239, max_norm is 0.0604, mean_norm is 0.0058
At round 191, test_loss is 0.4241, accuracy is 0.880561, max_norm is 0.0333, mean_norm is 0.0056
At round 192, test_loss is 0.4231, accuracy is 0.880703, max_norm is 0.0348, mean_norm is 0.0056
At round 193, test_loss is 0.4221, accuracy is 0.880485, max_norm is 0.0345, mean_norm is 0.0056
At round 194, test_loss is 0.4211, accuracy is 0.880880, max_norm is 0.0388, mean_norm is 0.0056
At round 195, test_loss is 0.4201, accuracy is 0.880893, max_norm is 0.0366, mean_norm is 0.0055
At round 196, test_loss is 0.4191, accuracy is 0.881196, max_norm is 0.0323, mean_norm is 0.0055
At round 197, test_loss is 0.4182, accuracy is 0.882039, max_norm is 0.0362, mean_norm is 0.0054
At round 198, test_loss is 0.4172, accuracy is 0.881950, max_norm is 0.0368, mean_norm is 0.0054
At round 199, test_loss is 0.4163, accuracy is 0.882040, max_norm is 0.0366, mean_norm is 0.0054
At round 200, test_loss is 0.4154, accuracy is 0.882052, max_norm is 0.0613, mean_norm is 0.0056
