At round 1, test loss is: 2.3230, metrics result is [0.102283], max_norm is 0.0577, mean_norm is 0.0125
At round 116, test loss is: 1.0138, metrics result is [0.876920], max_norm is 0.0734, mean_norm is 0.0310
At round 117, test loss is: 0.9856, metrics result is [0.879584], max_norm is 0.0720, mean_norm is 0.0298
At round 118, test loss is: 0.9594, metrics result is [0.881843], max_norm is 0.0711, mean_norm is 0.0288
At round 119, test loss is: 0.9349, metrics result is [0.884187], max_norm is 0.0701, mean_norm is 0.0278
At round 120, test loss is: 0.9119, metrics result is [0.886969], max_norm is 0.0691, mean_norm is 0.0269
At round 121, test loss is: 0.8904, metrics result is [0.888917], max_norm is 0.0683, mean_norm is 0.0261
At round 122, test loss is: 0.8702, metrics result is [0.891700], max_norm is 0.0676, mean_norm is 0.0252
At round 123, test loss is: 0.8511, metrics result is [0.893847], max_norm is 0.0671, mean_norm is 0.0245
At round 124, test loss is: 0.8331, metrics result is [0.894263], max_norm is 0.0662, mean_norm is 0.0238
At round 125, test loss is: 0.8160, metrics result is [0.895893], max_norm is 0.0656, mean_norm is 0.0231
At round 126, test loss is: 0.7998, metrics result is [0.897011], max_norm is 0.0649, mean_norm is 0.0225
At round 127, test loss is: 0.7844, metrics result is [0.897729], max_norm is 0.0646, mean_norm is 0.0219
At round 128, test loss is: 0.7698, metrics result is [0.898963], max_norm is 0.0636, mean_norm is 0.0213
At round 129, test loss is: 0.7558, metrics result is [0.900097], max_norm is 0.0633, mean_norm is 0.0207
At round 130, test loss is: 0.7425, metrics result is [0.901020], max_norm is 0.0627, mean_norm is 0.0202
At round 131, test loss is: 0.7298, metrics result is [0.902025], max_norm is 0.0619, mean_norm is 0.0197
At round 132, test loss is: 0.7176, metrics result is [0.902642], max_norm is 0.0614, mean_norm is 0.0192
At round 133, test loss is: 0.7059, metrics result is [0.903359], max_norm is 0.0609, mean_norm is 0.0188
At round 134, test loss is: 0.6947, metrics result is [0.904079], max_norm is 0.0607, mean_norm is 0.0184
At round 135, test loss is: 0.6840, metrics result is [0.904973], max_norm is 0.0602, mean_norm is 0.0180
At round 136, test loss is: 0.6736, metrics result is [0.905584], max_norm is 0.0599, mean_norm is 0.0175
At round 137, test loss is: 0.6637, metrics result is [0.905884], max_norm is 0.0591, mean_norm is 0.0172
At round 138, test loss is: 0.6541, metrics result is [0.906607], max_norm is 0.0589, mean_norm is 0.0168
At round 139, test loss is: 0.6449, metrics result is [0.907110], max_norm is 0.0581, mean_norm is 0.0165
At round 140, test loss is: 0.6360, metrics result is [0.907305], max_norm is 0.0576, mean_norm is 0.0161
At round 141, test loss is: 0.6274, metrics result is [0.907904], max_norm is 0.0573, mean_norm is 0.0158
At round 142, test loss is: 0.6190, metrics result is [0.908610], max_norm is 0.0569, mean_norm is 0.0155
At round 143, test loss is: 0.6110, metrics result is [0.909224], max_norm is 0.0564, mean_norm is 0.0152
At round 144, test loss is: 0.6032, metrics result is [0.909320], max_norm is 0.0560, mean_norm is 0.0149
At round 145, test loss is: 0.5957, metrics result is [0.909951], max_norm is 0.0554, mean_norm is 0.0146
At round 146, test loss is: 0.5884, metrics result is [0.910458], max_norm is 0.0550, mean_norm is 0.0144
At round 147, test loss is: 0.5813, metrics result is [0.910659], max_norm is 0.0546, mean_norm is 0.0141
At round 148, test loss is: 0.5745, metrics result is [0.910833], max_norm is 0.0543, mean_norm is 0.0139
At round 149, test loss is: 0.5678, metrics result is [0.910928], max_norm is 0.0536, mean_norm is 0.0136
At round 150, test loss is: 0.5614, metrics result is [0.911122], max_norm is 0.0538, mean_norm is 0.0134
At round 151, test loss is: 0.5551, metrics result is [0.911319], max_norm is 0.0529, mean_norm is 0.0132
At round 152, test loss is: 0.5490, metrics result is [0.912130], max_norm is 0.0529, mean_norm is 0.0129
At round 153, test loss is: 0.5431, metrics result is [0.912432], max_norm is 0.0523, mean_norm is 0.0127
At round 154, test loss is: 0.5373, metrics result is [0.912325], max_norm is 0.0514, mean_norm is 0.0125
At round 155, test loss is: 0.5317, metrics result is [0.912922], max_norm is 0.0514, mean_norm is 0.0123
At round 156, test loss is: 0.5262, metrics result is [0.913333], max_norm is 0.0515, mean_norm is 0.0121
At round 157, test loss is: 0.5209, metrics result is [0.913731], max_norm is 0.0509, mean_norm is 0.0119
At round 158, test loss is: 0.5157, metrics result is [0.913924], max_norm is 0.0506, mean_norm is 0.0118
At round 159, test loss is: 0.5107, metrics result is [0.914335], max_norm is 0.0499, mean_norm is 0.0116
At round 160, test loss is: 0.5058, metrics result is [0.914526], max_norm is 0.0502, mean_norm is 0.0114
At round 161, test loss is: 0.5010, metrics result is [0.915031], max_norm is 0.0490, mean_norm is 0.0112
At round 162, test loss is: 0.4963, metrics result is [0.915235], max_norm is 0.0495, mean_norm is 0.0111
At round 163, test loss is: 0.4918, metrics result is [0.915132], max_norm is 0.0488, mean_norm is 0.0109
At round 164, test loss is: 0.4873, metrics result is [0.915026], max_norm is 0.0487, mean_norm is 0.0108
At round 165, test loss is: 0.4829, metrics result is [0.915127], max_norm is 0.0483, mean_norm is 0.0106
At round 166, test loss is: 0.4787, metrics result is [0.915340], max_norm is 0.0479, mean_norm is 0.0105
At round 167, test loss is: 0.4745, metrics result is [0.915645], max_norm is 0.0474, mean_norm is 0.0103
At round 168, test loss is: 0.4705, metrics result is [0.915840], max_norm is 0.0474, mean_norm is 0.0102
At round 169, test loss is: 0.4665, metrics result is [0.916041], max_norm is 0.0474, mean_norm is 0.0101
At round 170, test loss is: 0.4626, metrics result is [0.916141], max_norm is 0.0471, mean_norm is 0.0099
At round 171, test loss is: 0.4589, metrics result is [0.916238], max_norm is 0.0465, mean_norm is 0.0098
At round 172, test loss is: 0.4552, metrics result is [0.916238], max_norm is 0.0463, mean_norm is 0.0097
At round 173, test loss is: 0.4515, metrics result is [0.916544], max_norm is 0.0458, mean_norm is 0.0096
At round 174, test loss is: 0.4480, metrics result is [0.916538], max_norm is 0.0454, mean_norm is 0.0094
At round 175, test loss is: 0.4445, metrics result is [0.916745], max_norm is 0.0455, mean_norm is 0.0093
At round 176, test loss is: 0.4411, metrics result is [0.917239], max_norm is 0.0448, mean_norm is 0.0092
At round 177, test loss is: 0.4378, metrics result is [0.917341], max_norm is 0.0451, mean_norm is 0.0091
At round 178, test loss is: 0.4345, metrics result is [0.917545], max_norm is 0.0448, mean_norm is 0.0090
At round 179, test loss is: 0.4313, metrics result is [0.917544], max_norm is 0.0445, mean_norm is 0.0089
At round 180, test loss is: 0.4282, metrics result is [0.917857], max_norm is 0.0446, mean_norm is 0.0088
At round 181, test loss is: 0.4251, metrics result is [0.918263], max_norm is 0.0443, mean_norm is 0.0087
At round 182, test loss is: 0.4221, metrics result is [0.918359], max_norm is 0.0439, mean_norm is 0.0086
At round 183, test loss is: 0.4192, metrics result is [0.918567], max_norm is 0.0440, mean_norm is 0.0085
At round 184, test loss is: 0.4163, metrics result is [0.918769], max_norm is 0.0437, mean_norm is 0.0084
At round 185, test loss is: 0.4134, metrics result is [0.919168], max_norm is 0.0434, mean_norm is 0.0083
At round 186, test loss is: 0.4107, metrics result is [0.919265], max_norm is 0.0433, mean_norm is 0.0082
At round 187, test loss is: 0.4079, metrics result is [0.919468], max_norm is 0.0424, mean_norm is 0.0081
At round 188, test loss is: 0.4053, metrics result is [0.919864], max_norm is 0.0425, mean_norm is 0.0080
At round 189, test loss is: 0.4026, metrics result is [0.919964], max_norm is 0.0425, mean_norm is 0.0080
At round 190, test loss is: 0.4001, metrics result is [0.920170], max_norm is 0.0423, mean_norm is 0.0079
At round 191, test loss is: 0.3975, metrics result is [0.920567], max_norm is 0.0426, mean_norm is 0.0078
At round 192, test loss is: 0.3951, metrics result is [0.920667], max_norm is 0.0417, mean_norm is 0.0077
At round 193, test loss is: 0.3926, metrics result is [0.920667], max_norm is 0.0419, mean_norm is 0.0076
At round 194, test loss is: 0.3902, metrics result is [0.920963], max_norm is 0.0414, mean_norm is 0.0076
At round 195, test loss is: 0.3879, metrics result is [0.921454], max_norm is 0.0418, mean_norm is 0.0075
At round 196, test loss is: 0.3856, metrics result is [0.921549], max_norm is 0.0411, mean_norm is 0.0074
At round 197, test loss is: 0.3833, metrics result is [0.921755], max_norm is 0.0410, mean_norm is 0.0073
At round 198, test loss is: 0.3811, metrics result is [0.921960], max_norm is 0.0406, mean_norm is 0.0073
At round 199, test loss is: 0.3789, metrics result is [0.921957], max_norm is 0.0407, mean_norm is 0.0072
At round 200, test loss is: 0.3768, metrics result is [0.921954], max_norm is 0.0406, mean_norm is 0.0071
